TURNING MOVEMENT COUNTS REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,4/8/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-South Streetname:,High St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-West Streetname:,San Leandro St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest-Northeast Streetname:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast-Northwest Streetname:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City:,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State:,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Firm:,"Quality Counts, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Number:,12469602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count Methodology:,videotaped and manually compiled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File Path:,\\PWAFILE2\Databases\Traffic_Counts\Data (formatted)\Turning Movement Counts\High St Signal Timing\PM\12469602 - High St -- San Leandro St.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL-VEHICLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,SB U-Turn,SB RTOR,WB Left,WB Thru,WB Right,WB U-Turn,WB RTOR,NB Left,NB Thru,NB Right,NB U-Turn,NB RTOR,EB Left,EB Thru,EB Right,EB U-Turn,EB RTOR,,,,,,,,,,,,,,,,,,,,,Total,Hourly Totals
4:00 PM,14,116,20,0,0,26,131,15,0,0,33,123,34,0,0,11,163,47,0,0,,,,,,,,,,,,,,,,,,,,,733,
4:15 PM,18,89,16,0,0,20,99,10,0,0,25,130,33,0,0,4,126,23,0,0,,,,,,,,,,,,,,,,,,,,,593,
4:30 PM,11,99,12,0,0,20,126,26,0,0,32,106,21,0,0,9,171,34,0,0,,,,,,,,,,,,,,,,,,,,,667,
4:45 PM,13,91,8,0,0,17,124,20,0,0,30,122,27,0,0,15,157,27,0,0,,,,,,,,,,,,,,,,,,,,,651,2644
5:00 PM,15,86,14,0,0,19,117,19,0,0,26,91,31,0,0,13,178,40,0,0,,,,,,,,,,,,,,,,,,,,,649,2560
5:15 PM,18,93,22,0,0,17,104,14,0,0,26,117,31,0,0,8,173,39,0,0,,,,,,,,,,,,,,,,,,,,,662,2629
5:30 PM,14,99,28,0,0,15,114,18,0,0,27,108,31,0,0,16,200,59,0,0,,,,,,,,,,,,,,,,,,,,,729,2691
5:45 PM,15,101,14,0,0,18,81,21,0,0,35,156,34,0,0,11,150,48,0,0,,,,,,,,,,,,,,,,,,,,,684,2724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAVY-VEHICLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,WB Left,WB Thru,WB Right,NB Left,NB Thru,NB Right,EB Left,EB Thru,EB Right,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,
4:00 PM,1,4,0,2,2,0,0,0,1,0,3,1,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
4:15 PM,3,0,0,0,1,0,0,0,2,0,4,1,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,
4:30 PM,2,5,0,1,1,1,2,0,0,1,3,0,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
4:45 PM,2,1,0,1,5,1,0,4,0,0,0,1,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
5:00 PM,2,1,0,0,0,0,0,0,0,0,5,0,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
5:15 PM,0,0,0,0,0,0,0,0,0,0,4,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
5:30 PM,0,4,0,0,1,0,1,2,0,0,2,2,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,
5:45 PM,1,5,0,0,3,0,1,1,1,0,2,0,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDESTRIAN VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,North,East,South,West,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00 PM,1,1,0,5,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:15 PM,0,1,1,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:30 PM,0,3,2,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:45 PM,3,3,3,3,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00 PM,2,5,1,2,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:15 PM,1,4,4,2,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:30 PM,0,6,3,2,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:45 PM,2,4,4,2,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICYCLE VOLUMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time Period,SB Left,SB Thru,SB Right,WB Left,WB Thru,WB Right,NB Left,NB Thru,NB Right,EB Left,EB Thru,EB Right,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,
4:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
4:15 PM,1,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
4:30 PM,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
4:45 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5:15 PM,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
5:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
5:45 PM,0,0,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
