http://www.sfcta.org/sites/default/files/content/Planning/VanNess_BRT_EIR/Van%20Ness%20BRT%20Public%20Draft%20EIS-EIRBOOKMARKED.pdf

Van Ness and Union,x,17:00-18:00,440
Van Ness and Clay,x,17:00-18:00,950
Van Ness and Broadway,x,17:00-18:00,280
Van Ness and Sacramento,x,17:00-18:00,640
Van Ness and California,x,17:00-18:00,920
Van Ness and Pine,x,17:00-18:00,560
Van Ness and Bush,x,17:00-18:00,560
Van Ness and Sutter,x,17:00-18:00,580
Van Ness and Post,x,17:00-18:00,600
Van Ness and Geary,x,17:00-18:00,1140
Van Ness and O'Farrell,x,17:00-18:00,1020
Van Ness and Ellis,x,17:00-18:00,1120
Van Ness and Eddy,x,17:00-18:00,1120
Van Ness and Turk,x,17:00-18:00,1120
Van Ness and Golden Gate,x,17:00-18:00,1160
Van Ness and McAllister,x,17:00-18:00,1200
Van Ness and Grove,x,17:00-18:00,1870
Van Ness and Hayes,x,17:00-18:00,670
Van Ness and Fell,x,17:00-18:00,1350
Van Ness and Oak,x,17:00-18:00,870
Van Ness and Market,x,17:00-18:00,2280
South Van Ness and Mission,x,17:00-18:00,880
Mission and Duboce,x,17:00-18:00,1060

http://sf.streetsblog.org/wp-content/upload1/ChinatownPedestrianNeedsAssessment_Final.pdf

Broadway and Grant,x,10:00-12:00,574 + 8
Columbus and Broadway,x,10:00-12:00,897 + 12 + 827 + 17
Columbus and Jackson,x,10:00-12:00,783 + 17
Columbus and Stockton,x,10:00-12:00,2093 + 78
Columbus and Vallejo,x,10:00-12:00,956 + 5
Grant and Jackson,x,10:00-12:00,2775 + 53
Kearny and Broadway,x,10:00-12:00,582 + 14
Kearny and Clay,x,10:00-12:00,2426 + 32
Kearny and Jackson,x,10:00-12:00,1322 + 21
Mason and Washington,x,10:00-12:00,431 + 41
Montgomery and Clay,x,10:00-12:00,2018 + 6
Powell and Broadway,x,10:00-12:00,1315 + 35
Powell and Pacific,x,10:00-12:00,1287 + 111
Powell and Washington,x,10:00-12:00,1020 + 78
Sacramento and Kearny,x,10:00-12:00,1605 + 27
Stockton and Broadway,x,10:00-12:00,3950 + 75 + 3671 + 79
Stockton and Clay,x,10:00-12:00,3810 + 108
Stockton and Jackson,x,10:00-12:00,6957 + 133
Stockton and Pacific,x,10:00-12:00,7715 + 169
Stockton and Sacramento,x,10:00-12:00,1530 + 13
Stockton and Vallejo,x,10:00-12:00,3437 + 63
Stockton and Washington,x,10:00-12:00,3908 + 147

Broadway and Grant,x,15:00-17:00,712 + 18
Columbus and Broadway,x,15:00-17:00,1281 + 69 + 1275 + 24
Columbus and Jackson,x,15:00-17:00,827 + 12
Columbus and Stockton,x,15:00-17:00,3025 + 83
Columbus and Vallejo,x,15:00-17:00,1115 + 65
Grant and Jackson,x,15:00-17:00,2524 + 37
Kearny and Broadway,x,15:00-17:00,957 + 115
Kearny and Clay,x,15:00-17:00,2355 + 82
Kearny and Jackson,x,15:00-17:00,1374 + 63
Mason and Washington,x,15:00-17:00,514 + 171
Montgomery and Clay,x,15:00-17:00,1882 + 15
Powell and Broadway,x,15:00-17:00,1427 + 113
Powell and Pacific,x,15:00-17:00,1468 + 68
Powell and Washington,x,15:00-17:00,1297 + 143
Sacramento and Kearny,x,15:00-17:00,1672 + 33
Stockton and Broadway,x,15:00-17:00,2892 + 113 + 4547 + 173
Stockton and Clay,x,15:00-17:00,3684 + 158
Stockton and Jackson,x,15:00-17:00,6540 + 255
Stockton and Pacific,x,15:00-17:00,6966 + 187
Stockton and Sacramento,x,15:00-17:00,1543 + 69
Stockton and Vallejo,x,15:00-17:00,3147 + 36
Stockton and Washington,x,15:00-17:00,4127 + 242
