"VEHICLE TURNING MOVEMENT COUNT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AM,NOON,PM,Erase,Quit,,"{MENUBRANCH REGMENU}",,,,,,,,,,,,,
"#008   Bond Street  &  42nd Avenue  -  PM PEAK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Print AM count","Print NOON count","Print PM count","Erase Worksheet contents","Exit Menu",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{GOTO}TIMEPD~AM~,{GOTO}TIMEPD~NOON~,{GOTO}TIMEPD~PM~,/rensst1~,{ESC},,,,,,,,,,,,,,,
15:30:00,,,,,,,,,,,,,,,0,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,0,208,832,0.49639423076923,0,0,79,0.44886363636364,0,0,0,0,0,0,150,0.48701298701299,0,0,184,0.47916666666667,0
15:45:00,,,,,,,,,,,,,,,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545,0,242,968,0.67665289256198,0,0,119,0.67613636363636,0,0,0,0,0,0,239,0.67134831460674,0,0,297,0.6570796460177,0
16:00:00,,25,0,19,0,0,0,0,73,0,0,88,0,205,205,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,245,980,0.91836734693878,0,44,166,0.88297872340426,0,0,0,0,0,73,330,0.90659340659341,0,88,404,0.89380530973451,0
16:15:00,,21,0,14,0,0,0,0,77,0,0,96,0,208,208,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,298,1192,0.83305369127517,0,35,180,0.77586206896552,0,0,0,0,0,77,379,0.7766393442623,0,96,434,0.91949152542373,0
16:30:00,,19,0,21,0,0,0,0,89,0,0,113,0,242,242,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,0,299,1196,0.90635451505017,0,40,204,0.86440677966102,0,0,0,0,0,89,439,0.80109489051095,0,113,441,0.93432203389831,0
16:45:00,,25,0,22,0,0,0,0,91,0,0,107,0,245,245,1114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,0,299,1196,0.9314381270903,0,47,215,0.91101694915254,0,0,0,0,0,91,462,0.84306569343066,0,107,437,0.92584745762712,0
17:00:00,,32,0,26,0,0,0,0,122,0,0,118,0,298,298,1119,1700,138,0,89,0,0,0,0,459,0,0,433,0,1,1700,1700,299,1196,0.93561872909699,0.93561872909699,58,227,0.96186440677966,0.96186440677966,0,0,0,0,122,459,0.83759124087591,0.83759124087591,118,433,0.91737288135593,0.91737288135593
17:15:00,,36,0,23,0,0,0,0,137,0,0,103,0,299,299,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1715,0,299,1196,0.68645484949833,0,59,169,0.71610169491525,0,0,0,0,0,137,337,0.61496350364964,0,103,315,0.72247706422018,0
17:30:00,,33,0,18,0,0,0,0,112,0,0,109,0,272,272,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730,0,272,1088,0.47977941176471,0,51,110,0.46610169491525,0,0,0,0,0,112,200,0.44642857142857,0,109,212,0.48623853211009,0
17:45:00,,37,0,22,0,0,0,0,88,0,0,103,0,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,250,1000,0.25,0,59,59,0.25,0,0,0,0,0,88,88,0.25,0,103,103,0.25,0
18:00:00,,,,,,,,,,,,,," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:00,,,,,,,,,,,,,," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:30:00,,,,,,,,,,,,,," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830,0,299,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:45:00,,,,,,,,,,,,,," ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,0,299,1196,0,0,0,393,0,0,0,0,0,0,0,789,0,0,0,837,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VOLUME STATS:",,NL,NT,NR,SL,ST,SR,EL,ET,ER,WL,WT,WR,,299,1119,1700,138,0,89,0,0,0,0,459,0,0,433,0,,,,,,,0.93561872909699,,,,0.96186440677966,,,,0,,,,0.83759124087591,,,,0.91737288135593
"TOTAL:    ",,228,0,165,0,0,0,0,789,0,0,837,0,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"nb a","nb d",,"sb a","sb d",,"eb a","eb d",,"wb a","nb d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,393,0,,0,0,,789,954,,837,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noon Peak Hour begins at:",,,,500,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P.H.V:   ₁",,138,0,89,0,0,0,0,459,0,0,433,0,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P.H.F:   ₂",,0.96186440677966,,,0,,,0.83759124087591,,,0.91737288135593,,,0.93561872909699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  (1) Peak Hour Volume (Peak Hour Begins At  500 PM)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  (2) Peak Hour Factor (directional aggregate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
