,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"TELEGRAPH & ALCATRAZ",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",3,1,1,2,1,15,,0,4,1,5,1,4
"7:30 - 8:00",3,1,27,1,1,7,,0,3,17,5,0,4
"7-8 TOTALS",6,2,28,3,2,22,,0,7,18,10,1,8
"8:00 - 8:30",0,0,12,1,0,24,,0,0,8,3,0,14
"8:30 - 9:00",0,0,23,1,1,14,,0,2,7,4,1,17
"8-9 TOTALS",0,0,35,2,1,38,,0,2,15,7,1,31
"11:00 - 11:30",0,1,6,1,0,3,,1,0,3,0,0,4
"11:30 - 12:00",0,0,8,1,0,9,,0,1,6,0,0,8
"11-12 TOTALS",0,1,14,2,0,12,,1,1,9,0,0,12
"12:00 - 12:30",0,0,10,1,0,14,,4,2,4,1,0,12
"12:30 - 1:00",1,1,9,0,0,8,,4,0,4,0,0,15
"12-1 TOTALS",1,1,19,1,0,22,,8,2,8,1,0,27
"4:00 - 4:30",0,0,6,2,0,8,,1,0,14,1,0,10
"4:30 - 5:00",0,0,9,0,0,13,,2,0,11,1,0,12
"4-5 TOTALS",0,0,15,2,0,21,,3,0,25,2,0,22
"5:00 - 5:30",1,0,6,1,0,13,,1,3,17,0,0,22
"5:30 - 6:00",0,0,11,1,0,8,,2,3,18,0,0,10
"5-6 TOTALS",1,0,17,2,0,21,,3,6,35,0,0,32
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
," ALCATRAZ     EASTBOUND",,,,,,"          ","  ALCATRAZ    WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,1,0,1,0,12,,0,1,0,2,0,3
"7:30 - 8:00",0,0,8,1,0,6,,0,0,4,4,0,3
"7-8 TOTALS",0,1,8,2,0,18,,0,1,4,6,0,6
"8:00 - 8:30",0,1,7,0,0,15,,2,0,4,2,0,15
"8:30 - 9:00",0,1,12,1,0,14,,1,0,3,2,0,13
"8-9 TOTALS",0,2,19,1,0,29,,3,0,7,4,0,28
"11:00 - 11:30",0,0,1,1,0,10,,2,0,5,1,0,9
"11:30 - 12:00",0,4,5,0,0,10,,3,0,5,1,0,11
"11-12 TOTALS",0,4,6,1,0,20,,5,0,10,2,0,20
"12:00 - 12:30",0,2,2,0,0,18,,0,0,2,0,0,8
"12:30 - 1:00",0,0,2,1,0,5,,0,1,4,0,0,13
"12-1 TOTALS",0,2,4,1,0,23,,0,1,6,0,0,21
"4:00 - 4:30",0,0,1,1,1,9,,1,2,3,3,0,11
"4:30 - 5:00",1,0,3,1,1,11,,1,0,7,2,1,20
"4-5 TOTALS",1,0,4,2,2,20,,2,2,10,5,1,31
"5:00 - 5:30",0,0,6,0,1,14,,0,0,1,1,0,6
"5:30 - 6:00",1,2,10,1,1,8,,0,0,6,0,0,0
"5-6 TOTALS",1,2,16,1,2,22,,0,0,7,1,0,7
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
