Location:,,,,,,,Weather:,,,,
Date:,,,,,,,,,,,
,,,,,,,,,,,
,"Northbound: primary street (NAME)",,,,,,"Southbound: primary street (NAME)",,,,
" ","Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
7:00-7:15am,,,,,,,,,,,
7:15-7:30am,,,,,,,,,,,
7:30-7:45am,,,,,,,,,,,
7:45-8:00am,,,,,,,,,,,
"7:00-8:00am Total:",0,0,0,0,0,,0,0,0,0,0
8:00-8:15am,,,,,,,,,,,
8:15-8:30am,,,,,,,,,,,
8:30-8:45am,,,,,,,,,,,
8:45-9:00am,,,,,,,,,,,
"8:00-9:00am Total:",0,0,0,0,0,,0,0,0,0,0
"7:00-9:00am Total:",0,0,0,0,0,,0,0,0,0,0
,"Total # of Bikes NB: ",,,0,,,"Total # of Bikes SB: ",,,0,
,"Eastbound: cross street (NAME)",,,,,,"Westbound: cross street (NAME)",,,,
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
7:00-7:15am,,,,,,,,,,,
7:15-7:30am,,,,,,,,,,,
7:30-7:45am,,,,,,,,,,,
7:45-8:00am,,,,,,,,,,,
"7:00-8:00am Total:",0,0,0,0,0,,0,0,0,0,0
8:00-8:15am,,,,,,,,,,,
8:15-8:30am,,,,,,,,,,,
8:30-8:45am,,,,,,,,,,,
8:45-9:00am,,,,,,,,,,,
"8:00-9:00am Total:",0,0,0,0,0,,0,0,0,0,0
"7:00-9:00am Total:",0,0,0,0,0,,0,0,0,0,0
,"Total # of Bikes EB: ",,,0,,,"Total # of Bikes WB: ",,,0,
,,,,,,,,,,,
"Totals (7:00am - 9:00am)",,,,,,,,,"Counted by:",,
"Total # of Bicyclists: ",,0,"(This total includes cyclists on sidewalks but not bikes on buses)",,,,,,,,
"Total # of Bikes on Buses:",,0,,,,,,,,,
"Total # of Pedestrians",,0,,,,,,,,,
"Total # of Bikes on Sidewalk:",,,"(This total is recorded in addition to the turning movements counts above. In other words, cyclists",,,,,,,,
,,,"on the sidewalk should be recorded in the turning movement counts and on this line.)",,,,,,,,
