,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"34TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,11,0,0,4,,0,0,11,0,0,6
"7:30 - 8:00",0,0,8,2,0,18,,0,0,9,2,0,14
"7-8 TOTALS",0,0,19,2,0,22,,0,0,20,2,0,20
"8:00 - 8:30",0,1,7,2,0,6,,0,0,14,2,0,22
"8:30 - 9:00",0,0,10,0,0,12,,1,0,13,0,0,26
"8-9 TOTALS",0,1,17,2,0,18,,1,0,27,2,0,48
"11:00 - 11:30",1,0,1,2,0,11,,1,0,4,0,0,45
"11:30 - 12:00",0,0,0,2,1,6,,1,1,6,0,0,27
"11-12 TOTALS",1,0,1,4,1,17,,2,1,10,0,0,72
"12:00 - 12:30",0,3,1,2,0,3,,1,0,6,0,0,33
"12:30 - 1:00",0,0,0,0,0,8,,0,0,0,0,0,36
"12-1 TOTALS",0,3,1,2,0,11,,1,0,6,0,0,69
"4:00 - 4:30",0,0,11,0,1,13,,0,2,12,0,0,38
"4:30 - 5:00",0,2,9,0,1,16,,0,0,7,0,0,41
"4-5 TOTALS",0,2,20,0,2,29,,0,2,19,0,0,79
"5:00 - 5:30",0,0,11,0,0,21,,0,3,5,0,0,21
"5:30 - 6:00",0,0,8,0,0,4,,0,1,11,0,0,19
"5-6 TOTALS",0,0,19,0,0,25,,0,4,16,0,0,40
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"34TH STREET  EASTBOUND",,,,,,"          "," 34TH STREET  WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,1,1,0,0,2,,0,0,2,0,0,1
"7:30 - 8:00",0,0,0,0,0,14,,0,0,0,0,0,7
"7-8 TOTALS",0,1,1,0,0,16,,0,0,2,0,0,8
"8:00 - 8:30",0,3,2,0,0,13,,0,0,0,0,0,7
"8:30 - 9:00",0,8,0,0,0,9,,0,1,0,0,0,16
"8-9 TOTALS",0,11,2,0,0,22,,0,1,0,0,0,23
"11:00 - 11:30",0,0,1,0,0,17,,0,0,1,0,0,11
"11:30 - 12:00",0,1,0,0,0,14,,0,1,0,0,0,6
"11-12 TOTALS",0,1,1,0,0,31,,0,1,1,0,0,17
"12:00 - 12:30",1,1,2,0,0,19,,0,0,1,0,0,3
"12:30 - 1:00",0,4,2,0,0,21,,0,0,0,0,0,8
"12-1 TOTALS",1,5,4,0,0,40,,0,0,1,0,0,11
"4:00 - 4:30",1,1,0,0,0,16,,0,0,0,0,0,11
"4:30 - 5:00",0,0,3,0,0,14,,0,0,1,0,0,9
"4-5 TOTALS",1,1,3,0,0,30,,0,0,1,0,0,20
"5:00 - 5:30",0,3,3,0,0,21,,0,0,0,0,0,20
"5:30 - 6:00",0,0,0,0,0,13,,0,0,3,0,0,4
"5-6 TOTALS",0,3,3,0,0,34,,0,0,3,0,0,24
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
