"2 Hour Diagram for QA Flow Check",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"INTERSECTION #:",,,009,,,,,,"PROJECT #:",,,080170,,,,,,"AM PEAK:",,,#REF!,,,
"NORTH / SOUTH:",,,"Bancroft Avenue",,,,,,DATE:,,,2008/04/09,,,,,,"MD PEAK:",,,#REF!,,,
"EAST / WEST:",,,"42nd Avenue",,,,,,VICINITY:,,,"OAKLAND, CA",,,,,,"PM PEAK:",,,"500 PM",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,LN,0,0,0,,,,,,,,,,,,,
,,,,,,,,AM,#REF!,#REF!,#REF!,,,,TOTAL,#REF!,,,,,,,,
,,,,,,,,MD,#REF!,#REF!,#REF!,,,,PM,0,,,,,,,,
,,,,,,,,PM,0,0,0,,,,MD,#REF!,,,,,,,,
,,,,,,,,TOTAL,#REF!,#REF!,#REF!,,,,AM,#REF!,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,PM,MD,AM,,,,,,,,,,,,,,,TOTAL,PM,MD,AM,LN
,,#REF!,893,#REF!,#REF!,,,,,,,,,,,,,,,#REF!,0,#REF!,#REF!,0
,,,,,,,,,,,,NORTH,,,,,,,,#REF!,893,#REF!,#REF!,2
,0,,,,,,,,,,SIGNALIZED,,,,,,,,,#REF!,145,#REF!,#REF!,1
,,,,,,,,,,WEST,,,,,EAST,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,
,LN,AM,MD,PM,TOTAL,,,,,,,,,,,,,,,,,,,
,0,#REF!,#REF!,0,#REF!,,,,,,,SOUTH,,,,,,,,,,,,
,2,#REF!,#REF!,788,#REF!,,,,,,,,,,,,,,,#REF!,#REF!,788,#REF!,
,0,#REF!,#REF!,305,#REF!,,,,,,,,,,,,,,,AM,MD,PM,TOTAL,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,TOTAL,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,AM,#REF!,,,,,PM,0,0,0,,,,,,,
,,,,,,,,MD,#REF!,,,,,MD,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,PM,450,,,,,AM,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,TOTAL,#REF!,,,,,LN,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"AM COUNT",,,,"6:00 AM",,TO,,"8:00 AM",,,"AM PEAK",,,,#REF!,,,,,,,,,
"MD COUNT",,,,"12:30 PM",,TO,,"2:30 PM",,,"MD PEAK",,,,#REF!,,,,,,,,,
"PM COUNT",,,,"4:00 PM",,TO,,"6:00 PM",,,"PM PEAK",,,,"500 PM",,,,,,,,,
