,"Northbound: Harrison Street ",,,,,,,"Southbound: Harrison Street",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,,,,
12:00-12:30,,,1,,,,,,,3,,,
"11:30-12:30pm Total:",,,1,,,,,,,3,,,
12:30-1:00,,,,,,,,,,,,,
1:00-1:30,,,,,,,,,,1,,,
"12:30-1:30pm Total:",,,,,,,,,,1,,,
"11:30-1:30 pm Total:",,,1,,,,,,,4,,,
"Total # of Bikes NB: ",,1,,,,,,"Total # of Bikes SB: ",,,4,,
,,,,,,,,,,,,,
,"Eastbound: ",,,,,,,"Westbound: 29th Street",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,,,,
12:00-12:30,,,,,,,,,,,,,
"11:30-12:30pm Total:",,,,,,,,,,,,,
12:30-1:00,,,,,,,,,,,,,
1:00-1:30,,,,,,,,,,,,,
"12:30-1:30pm Total:",,,,,,,,,,,,,
"11:30-1:30 pm Total:",,,,,,,,,,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30pm): ",,,,,,5,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
