,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"29TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,7,0,0,8,,1,0,6,0,0,3
"7:30 - 8:00",0,0,10,0,1,5,,0,0,8,0,0,14
"7-8 TOTALS",0,0,17,0,1,13,,1,0,14,0,0,17
"8:00 - 8:30",0,1,7,0,0,15,,0,0,9,0,2,8
"8:30 - 9:00",0,0,6,0,1,5,,0,0,9,0,0,9
"8-9 TOTALS",0,1,13,0,1,20,,0,0,18,0,2,17
"11:00 - 11:30",0,0,5,0,0,15,,0,0,4,0,0,4
"11:30 - 12:00",0,0,7,0,0,7,,0,1,8,0,0,9
"11-12 TOTALS",0,0,12,0,0,22,,0,1,12,0,0,13
"12:00 - 12:30",0,0,3,0,0,12,,0,0,6,0,0,8
"12:30 - 1:00",0,0,3,0,0,24,,0,0,2,0,0,5
"12-1 TOTALS",0,0,6,0,0,36,,0,0,8,0,0,13
"4:00 - 4:30",0,1,8,1,0,8,,0,1,10,0,0,12
"4:30 - 5:00",0,1,15,1,0,3,,0,0,11,0,0,1
"4-5 TOTALS",0,2,23,2,0,11,,0,1,21,0,0,13
"5:00 - 5:30",0,1,11,1,2,9,,0,0,4,2,1,10
"5:30 - 6:00",1,3,11,0,0,8,,0,2,10,0,0,4
"5-6 TOTALS",1,4,22,1,2,17,,0,2,14,2,1,14
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"29TH STREET EASTBOUND",,,,,,"          ","29TH STREET  WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,0,0,6,,1,0,0,0,0,3
"7:30 - 8:00",0,0,0,0,0,7,,0,0,0,0,0,9
"7-8 TOTALS",0,0,0,0,0,13,,1,0,0,0,0,12
"8:00 - 8:30",0,0,2,0,0,11,,0,0,0,0,0,11
"8:30 - 9:00",0,0,0,0,0,13,,1,0,0,0,0,11
"8-9 TOTALS",0,0,2,0,0,24,,1,0,0,0,0,22
"11:00 - 11:30",0,0,0,0,0,9,,0,0,0,0,0,21
"11:30 - 12:00",1,0,0,0,0,10,,0,0,0,0,0,15
"11-12 TOTALS",1,0,0,0,0,19,,0,0,0,0,0,36
"12:00 - 12:30",0,0,0,0,0,12,,0,0,1,0,0,24
"12:30 - 1:00",1,0,1,0,0,8,,0,0,0,0,0,28
"12-1 TOTALS",1,0,1,0,0,20,,0,0,1,0,0,52
"4:00 - 4:30",0,2,1,0,0,16,,2,0,0,0,0,8
"4:30 - 5:00",2,0,0,0,0,25,,0,0,1,0,0,13
"4-5 TOTALS",2,2,1,0,0,41,,2,0,1,0,0,21
"5:00 - 5:30",0,0,0,0,0,17,,2,0,0,0,0,17
"5:30 - 6:00",2,0,0,0,0,18,,0,0,0,0,0,9
"5-6 TOTALS",2,0,0,0,0,35,,2,0,0,0,0,26
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
