,"Northbound: MLK Jr. Way ",,,,,,,"Southbound: MLK Jr. Way",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:30-3:00,,,1,,,,,1,,3,,,
3:00-3:30,,,1,,,,,,,1,,,
"2:30-3:30pm Total:",,,2,,,,,1,,4,,,
3:30-4:00,,,2,1,,,,1,,2,,,
4:00-4:30,,,3,1,,,,,,1,,,
"3:30-4:30pm Total:",,,5,2,,,,1,,3,,,
"2:30-4:30pm Total:",,,7,2,,,,2,,7,,,
"Total # of Bikes NB: ",,9,,,,,,"Total # of Bikes SB: ",,,9,,
,,,,,,,,,,,,,
,"Eastbound: 29th Street",,,,,,,"Westbound: 29th Street",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:30-3:00,,,,,,,,,,,,,
3:00-3:30,,1,,,,,,1,,1,1,,
"2:30-3:30pm Total:",,1,,,,,,1,,1,1,,
3:30-4:00,,,,1,,,,1,,,,,
4:00-4:30,,1,1,,,,,,,1,,,
"3:30-4:30pm Total:",,1,1,1,,,,1,,1,,,
"2:30-4:30pm Total:",,2,1,1,,,,2,,2,1,,
"Total # of Bikes EB: ",,4,,,,,,"Total # of Bikes WB: ",,,5,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (2:30-4:30pm): ",,,,,,27,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
