,"Fruitvale Northbound",,,,,,,"Fruitvale Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
7:00-7:30,,,,,,6,,,,,2,,13
7:30-8:00,,,,,,9,," ",," ",3,2,4
"7-8 am Totals:",,,,,,15,,,,,5,2,17
8:00-8:30,,,,,,8,,,,1,1,2,4
8:30-9:00,,,2," ",,10,," ",," ",,,6
"8-9 am Totals",,,2,,,18,,,,1,1,2,10
"7-9 am Totals",,,2,,,33,,,,1,6,4,27
"Total # of Bikes NB: ",,2,,,,,,"Total # of Bikes SB: ",,,11,,
,,,,,,,,,,,,,
,"MacArthur Eastbound",,,,,,,"MacArthur Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
7:00-7:30,,,,1,,6,,,,,,,3
7:30-8:00,1,,1,1,,7,,,,2,,,4
"7-8 am Totals:",1,,1,2,,13,,,,2,,,7
8:00-8:30,,,," ",,3,,," ",2,,,4
"8:30-9:00 am",,,," ",,5,," ",,2,,,
"8-9 am Totals",,,,,,8,,,,4,,,4
"7-9 am Totals",1,,1,2,,21,,,,6,,,11
"Total # of Bikes EB: ",,4,,,,,,"Total # of Bikes WB: ",,,6,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (7-9 am): ",,,,,23,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
