,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"20TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,2,2,0,18,,0,1,5,1,1,11
"7:30 - 8:00",0,0,2,0,0,17,,0,0,6,0,0,27
"7-8 TOTALS",0,0,4,2,0,35,,0,1,11,1,1,38
"8:00 - 8:30",0,0,2,1,0,20,,0,2,7,1,0,33
"8:30 - 9:00",0,0,4,0,0,36,,1,3,8,0,0,44
"8-9 TOTALS",0,0,6,1,0,56,,1,5,17,1,0,77
"11:00 - 11:30",0,0,5,0,1,47,,0,0,3,0,1,48
"11:30 - 12:00",0,1,5,0,1,52,,0,2,7,0,2,41
"11-12 TOTALS",0,1,10,0,2,99,,0,2,10,0,3,89
"12:00 - 12:30",1,0,3,1,1,33,,0,2,6,0,0,36
"12:30 - 1:00",0,2,4,0,1,50,,0,1,3,1,0,42
"12-1 TOTALS",1,2,7,1,2,83,,0,3,9,1,0,78
"4:00 - 4:30",0,0,5,0,0,44,,0,3,7,0,0,57
"4:30 - 5:00",0,1,5,1,0,57,,0,1,4,0,0,38
"4-5 TOTALS",0,1,10,1,0,101,,0,4,11,0,0,95
"5:00 - 5:30",0,0,8,2,2,79,,0,0,3,2,0,46
"5:30 - 6:00",1,0,3,0,2,65,,0,3,6,0,0,15
"5-6 TOTALS",1,0,11,2,4,144,,0,3,9,2,0,61
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"20th STREET EASTBOUND",,,,,,"          ","20TH STREET WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,1,1,22,,1,0,2,0,2,12
"7:30 - 8:00",0,0,3,0,0,51,,2,0,0,0,1,14
"7-8 TOTALS",0,0,3,1,1,73,,3,0,2,0,3,26
"8:00 - 8:30",0,1,0,1,1,76,,1,0,1,1,0,38
"8:30 - 9:00",0,0,0,1,1,73,,0,0,0,1,0,36
"8-9 TOTALS",0,1,0,2,2,149,,1,0,1,2,0,74
"11:00 - 11:30",0,1,1,1,1,21,,0,0,1,0,1,28
"11:30 - 12:00",0,0,0,2,1,33,,0,0,1,1,2,37
"11-12 TOTALS",0,1,1,3,2,54,,0,0,2,1,3,65
"12:00 - 12:30",0,0,0,0,2,24,,0,0,0,0,1,31
"12:30 - 1:00",1,0,2,0,0,43,,0,0,1,0,1,34
"12-1 TOTALS",1,0,2,0,2,67,,0,0,1,0,2,65
"4:00 - 4:30",1,0,1,1,0,19,,0,3,1,1,0,11
"4:30 - 5:00",0,0,3,1,0,21,,1,0,0,0,0,18
"4-5 TOTALS",1,0,4,2,0,40,,1,3,1,1,0,31
"5:00 - 5:30",1,0,1,1,1,23,,1,1,5,2,0,20
"5:30 - 6:00",1,1,1,1,1,43,,0,0,2,0,0,39
"5-6 TOTALS",2,1,2,2,2,66,,1,1,7,2,0,59
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
