"PREPARED BY NATIONAL DATA & SURVEYING SERVICES",,,,,,,,,,,,,,,,,,,,
,,,,"Bicycle Count",,,,,,,,,,,,,,,Start:,End:
PROJECT#:,,10-7381-021,,,,,,,,,,,,,,,,AM,07:00:00,09:00:00
"N/S Street:",,"Madison St",,,,,,,,,,,,,,,,NOON,NONE,NONE
"E/W Street:",,"2nd St",,,,,,,,,,,,,,,,PM,16:00:00,19:00:00
DATE:,,2010/10/05,,,,,,,DAY:,2010/10/05,,,,,,,,,,
CITY:,,Oakland,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,,AM,NOON,PM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,"N O R T H   L E G",,,,,,,,,,,,,,,
,,,,"W E S T   L E G",,,,,,,,,,,,"E A S T   L E G",,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PM,0,,,,,,,,,,,,,,,,,,0,AM
NOON,0,,,,,,,,,,,,,,,,,,0,NOON
AM,0,,,,,,,,,,,,,,,,,,0,PM
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,"S O U T H   L E G",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,,AM,NOON,PM,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Graphic image courtesy of IIT Bombay",
