,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"W. GRAND STREET - TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",1,2,8,0,0,8,,0,1,7,0,0,8
"7:30 - 8:00",1,2,6,0,1,18,,1,2,8,0,2,12
"7-8 TOTALS",2,4,14,0,1,26,,1,3,15,0,2,20
"8:00 - 8:30",0,0,5,0,0,15,,0,1,10,0,0,5
"8:30 - 9:00",0,1,5,0,0,24,,0,0,13,0,0,6
"8-9 TOTALS",0,1,10,0,0,39,,0,1,23,0,0,11
"11:00 - 11:30",0,0,5,0,0,21,,1,0,7,0,0,17
"11:30 - 12:00",0,0,5,0,3,21,,0,0,6,0,0,14
"11-12 TOTALS",0,0,10,0,3,42,,1,0,13,0,0,31
"12:00 - 12:30",0,0,5,0,0,17,,0,1,8,0,0,37
"12:30 - 1:00",1,1,3,0,0,19,,0,0,4,0,0,17
"12-1 TOTALS",1,1,8,0,0,36,,0,1,12,0,0,54
"4:00 - 4:30",0,1,11,0,0,21,,2,1,7,1,0,13
"4:30 - 5:00",0,0,8,0,0,14,,0,0,4,0,0,24
"4-5 TOTALS",0,1,19,0,0,35,,2,1,11,1,0,37
"5:00 - 5:30",0,2,11,0,2,23,,0,0,4,0,0,16
"5:30 - 6:00",0,1,8,0,0,9,,1,0,11,0,0,17
"5-6 TOTALS",0,3,19,0,2,32,,1,0,15,0,0,33
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"W. GRAND ST EASTBOUND",,,,,,"          ","W.GRAND ST.   WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",2,0,2,0,0,12,,0,0,2,0,0,15
"7:30 - 8:00",2,0,4,1,0,19,,2,0,3,0,2,14
"7-8 TOTALS",4,0,6,1,0,31,,2,0,5,0,2,29
"8:00 - 8:30",4,1,4,0,0,18,,1,2,3,0,0,28
"8:30 - 9:00",4,0,1,0,0,23,,0,3,3,0,0,18
"8-9 TOTALS",8,1,5,0,0,41,,1,5,6,0,0,46
"11:00 - 11:30",1,1,2,0,0,19,,0,0,3,0,0,24
"11:30 - 12:00",0,1,1,0,0,35,,0,0,4,0,0,21
"11-12 TOTALS",1,2,3,0,0,54,,0,0,7,0,0,45
"12:00 - 12:30",1,1,2,0,0,25,,1,0,0,0,0,39
"12:30 - 1:00",0,0,4,0,0,23,,1,0,0,0,0,22
"12-1 TOTALS",1,1,6,0,0,48,,2,0,0,0,0,61
"4:00 - 4:30",2,1,4,0,0,26,,1,1,1,0,0,11
"4:30 - 5:00",0,1,3,0,0,45,,1,0,1,0,0,20
"4-5 TOTALS",2,2,7,0,0,71,,2,1,2,0,0,31
"5:00 - 5:30",1,0,2,0,0,36,,2,0,4,0,0,16
"5:30 - 6:00",1,2,7,0,0,72,,1,2,4,0,0,15
"5-6 TOTALS",2,2,9,0,0,108,,3,2,8,0,0,41
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
