,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"41ST & TELEGRAPH",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,25,4,0,0,0,,21,15,7,0,,1
"7:30 - 8:00",10,26,15,0,2,0,,36,13,8,0,1,0
"7-8 TOTALS",10,51,19,0,2,0,,57,28,15,0,1,1
"8:00 - 8:30",0,10,11,0,0,23,,4,1,14,0,0,20
"8:30 - 9:00",0,0,10,0,0,17,,0,0,20,0,0,23
"8-9 TOTALS",0,10,21,0,0,40,,4,1,34,0,0,43
"11:00 - 11:30",0,0,7,0,0,9,,1,0,10,0,0,17
"11:30 - 12:00",0,1,10,0,2,11,,0,0,8,0,0,29
"11-12 TOTALS",0,1,17,0,2,20,,1,0,18,0,0,46
"12:00 - 12:30",0,0,5,0,0,14,,0,0,4,0,0,39
"12:30 - 1:00",0,0,8,0,0,12,,0,0,9,0,0,14
"12-1 TOTALS",0,0,13,0,0,26,,0,0,13,0,0,53
"4:00 - 4:30",1,0,8,3,2,11,,1,0,8,0,0,32
"4:30 - 5:00",0,1,5,3,2,22,,0,1,1,2,1,23
"4-5 TOTALS",1,1,13,6,4,33,,1,0,9,2,1,55
"5:00 - 5:30",0,0,11,1,1,16,,0,0,9,0,2,34
"5:30 - 6:00",1,1,15,2,2,20,,0,0,11,0,0,13
"5-6 TOTALS",1,1,26,3,3,36,,0,0,20,,2,47
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"41ST STREET EASTBOUND",,,,,,"          ","41ST STREET WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",5,3,1,0,0,0,,3,8,3,0,0,0
"7:30 - 8:00",10,1,0,0,0,0,,5,12,5,0,0,0
"7-8 TOTALS",15,4,1,0,0,0,,8,20,8,0,0,0
"8:00 - 8:30",5,0,0,0,0,38,,0,5,0,0,0,12
"8:30 - 9:00",2,0,1,0,0,29,,0,2,0,0,0,18
"8-9 TOTALS",7,0,1,0,0,67,,0,7,0,0,0,30
"11:00 - 11:30",1,1,0,0,0,24,,0,0,0,0,0,7
"11:30 - 12:00",2,2,0,0,0,29,,0,1,1,0,0,1
"11-12 TOTALS",3,3,0,0,0,53,,0,0,1,0,0,8
"12:00 - 12:30",0,0,0,0,0,33,,0,0,0,0,0,0
"12:30 - 1:00",1,1,0,0,0,27,,0,0,1,0,0,2
"12-1 TOTALS",1,1,0,0,0,60,,0,0,10,0,0,2
"4:00 - 4:30",1,2,0,0,0,29,,0,0,0,0,0,8
"4:30 - 5:00",4,10,0,0,0,31,,0,2,0,0,0,6
"4-5 TOTALS",5,12,0,0,0,60,,0,2,0,0,0,14
"5:00 - 5:30",0,5,0,0,0,25,,0,1,0,0,0,7
"5:30 - 6:00",2,12,0,0,0,14,,1,1,1,0,0,3
"5-6 TOTALS",2,17,0,0,0,39,,1,2,1,0,0,10
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
