,"Northbound: Macarthur Blvd",,,,,,,"Southbound: Macarthur Blvd",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,1,,,,,,,,1,,
12:00-12:30,,,1,,,,,,,,,,
"11:30-12:30pm Total:",,,2,,,,,,,,1,,
12:30-1:00,,,,,,,,,,,,,
1:00-1:30,,,,,,,,,,,,,
"12:30-1:30pm Total:",,,,,,,,,,,,,
"11:30-1:30 pm Total:",,,2,,,,,,,,1,,
"Total # of Bikes NB: ",,2,,,,,,"Total # of Bikes SB: ",,,1,,
,,,,,,,,,,,,,
,"Eastbound: Foothill Blvd",,,,,,,"Westbound: Byron Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
11:30-12:00,,,,,,,,,,,,,
12:00-12:30,,,,,,,,,,,,,
"11:30-12:30pm Total:",,,,,,,,,,,,,
12:30-1:00,,,,,,,,,,,,,
1:00-1:30,,,,,,,,,,,,,
"12:30-1:30pm Total:",,,,,,,,,,,,,
"11:30-1:30 pm Total:",,,,,,,,,,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (11:30-1:30pm): ",,,,,,3,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
