,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"TELEGRAPH & CLAREMONT",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,1,0,1,0,,0,0,2,3,0,1
"7:30 - 8:00",5,0,0,0,0,0,,0,0,2,0,0,4
"7-8 TOTALS",5,0,1,0,1,0,,0,0,4,3,0,5
"8:00 - 8:30",8,0,10,0,0,0,,0,1,1,0,0,11
"8:30 - 9:00",1,0,7,0,0,0,,0,0,0,0,0,6
"8-9 TOTALS",9,0,17,0,0,0,,0,1,1,0,0,17
"11:00 - 11:30",1,0,9,0,0,1,,0,0,3,0,0,17
"11:30 - 12:00",1,0,8,0,0,0,,1,0,7,0,0,7
"11-12 TOTALS",2,0,17,0,0,1,,1,0,10,0,0,24
"12:00 - 12:30",0,4,4,0,0,0,,0,0,3,0,0,14
"12:30 - 1:00",1,1,4,0,0,0,,1,0,5,0,0,16
"12-1 TOTALS",1,5,8,0,0,0,,1,0,8,0,0,30
"4:00 - 4:30",0,1,1,0,0,0,,0,0,11,0,0,19
"4:30 - 5:00",1,0,6,0,0,0,,0,0,9,0,0,11
"4-5 TOTALS",1,1,7,0,0,0,,0,0,20,0,0,30
"5:00 - 5:30",1,1,11,0,0,0,,1,0,10,0,0,13
"5:30 - 6:00",0,0,6,0,0,0,,0,0,6,0,0,4
"5-6 TOTALS",1,1,17,0,0,0,,1,0,16,0,0,17
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"CLAREMONT EASTBOUND",,,,,,"          ","CLAREMONT WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,0,0,7,,0,1,0,0,0,0
"7:30 - 8:00",1,1,0,0,0,23,,0,1,1,0,0,4
"7-8 TOTALS",1,1,0,0,0,30,,0,2,1,0,0,4
"8:00 - 8:30",2,0,0,0,0,11,,1,3,0,0,0,9
"8:30 - 9:00",0,0,0,0,0,7,,1,0,1,0,0,3
"8-9 TOTALS",2,0,0,0,0,18,,2,3,1,0,0,12
"11:00 - 11:30",0,0,0,0,0,18,,0,1,0,0,0,4
"11:30 - 12:00",0,0,1,0,0,8,,0,5,0,0,0,6
"11-12 TOTALS",0,0,1,0,0,26,,0,6,0,0,0,10
"12:00 - 12:30",0,0,0,0,0,14,,0,0,0,0,0,10
"12:30 - 1:00",0,0,0,0,0,14,,0,0,1,0,0,12
"12-1 TOTALS",0,0,0,0,0,28,,0,0,1,0,0,22
"4:00 - 4:30",0,1,0,0,0,25,,1,0,0,0,0,2
"4:30 - 5:00",0,1,0,0,0,25,,0,1,2,0,0,4
"4-5 TOTALS",0,2,0,0,0,50,,1,1,2,0,0,6
"5:00 - 5:30",0,0,0,0,0,20,,0,1,2,0,0,1
"5:30 - 6:00",0,0,0,0,0,7,,1,0,0,0,0,7
"5-6 TOTALS",0,0,0,0,0,27,,1,1,2,0,0,8
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
