,"Foothill Eastbound",,,,,,,"Foothill Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,1,,,7,,,,,2,,16
4:30-5:00,,,2,4,,16,,,,,1,,20
"4-5pm Totals:",,,3,4,,23,,,,,3,,36
5:00-5:30,,,2,3,,13,,,,2,2,,10
5:30-6:00,,,1,,1,10,,,,,1,,21
"5-6 pm Totals",,,3,3,1,23,,,,2,3,,31
"4-6 pm Totals",,,6,7,1,46,,,,2,6,,67
"Total # of Bikes NB: ",,14,,,,,,"Total # of Bikes SB: ",,,8,,
,,,,,,,,,,,,,
,"38th Ave Northbound",,,,,,,"38th Ave Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,,1,,10,,,,,,,4
4:30-5:00,,,2,,,10,,,,,3,,15
"4-5pm Totals:",,,2,1,,20,,,,,3,,19
5:00-5:30,,,2,3,,11,,1,,,,,21
5:30-6:00,,,2,2,,14,,,,,,,9
"5-6 pm Totals",,,4,5,,25,,1,,,,,30
"4-6 pm Totals",,,6,6,,45,,1,,,3,,49
"Total # of Bikes EB: ",,12,,,,,,"Total # of Bikes WB: ",,,4,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (4-6 pm): ",,,,,38,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,"Total # of Bikes Using Facilities (4-6): ",,,,,15,,,,
