,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"45TH AND TELEGRAPH",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",1,1,3,0,1,12,,1,1,6,1,0,27
"7:30 - 8:00",5,0,19,0,0,8,,0,1,6,0,0,13
"7-8 TOTALS",6,1,22,0,1,20,,1,2,12,1,0,40
"8:00 - 8:30",1,1,11,0,0,43,,1,0,15,0,1,46
"8:30 - 9:00",0,1,13,0,0,15,,0,2,22,0,0,10
"8-9 TOTALS",1,2,24,0,0,58,,1,2,37,0,1,56
"11:00 - 11:30",0,1,11,0,0,18,,0,0,7,0,0,6
"11:30 - 12:00",0,0,13,0,2,12,,1,0,11,0,2,6
"11-12 TOTALS",0,1,24,0,2,30,,1,0,18,0,2,12
"12:00 - 12:30",1,0,8,0,0,8,,0,0,8,0,0,5
"12:30 - 1:00",0,0,8,0,0,36,,0,1,13,0,0,6
"12-1 TOTALS",1,0,16,0,0,44,,0,1,21,0,0,11
"4:00 - 4:30",3,1,11,0,0,14,,0,1,16,0,0,24
"4:30 - 5:00",2,0,10,0,3,16,,0,0,18,0,0,11
"4-5 TOTALS",5,1,21,0,3,30,,0,1,34,0,0,35
"5:00 - 5:30",0,0,18,0,0,9,,1,0,11,0,0,2
"5:30 - 6:00",0,2,18,0,0,10,,0,0,16,0,0,6
"5-6 TOTALS",0,2,36,0,0,19,,1,0,27,0,0,8
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"45TH EASTBOUND",,,,,,"          ","45TH WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",1,0,1,0,0,6,,0,0,0,0,0,8
"7:30 - 8:00",0,0,0,0,0,19,,1,0,3,1,0,36
"7-8 TOTALS",1,0,1,0,0,25,,1,0,3,1,0,44
"8:00 - 8:30",0,1,0,0,0,33,,2,0,0,0,0,49
"8:30 - 9:00",0,1,0,0,0,19,,0,0,0,0,0,25
"8-9 TOTALS",0,2,0,0,0,52,,2,0,0,0,0,74
"11:00 - 11:30",2,0,1,0,0,25,,1,0,0,0,0,26
"11:30 - 12:00",1,1,0,0,0,28,,0,0,0,1,0,15
"11-12 TOTALS",3,1,1,0,0,23,,1,0,0,1,0,41
"12:00 - 12:30",0,0,1,0,0,18,,0,0,0,0,0,31
"12:30 - 1:00",0,0,0,0,0,21,,1,0,0,0,0,29
"12-1 TOTALS",0,0,1,0,0,39,,1,0,0,0,0,60
"4:00 - 4:30",1,1,0,0,0,29,,0,0,0,0,0,34
"4:30 - 5:00",0,0,1,0,0,40,,1,1,0,0,0,24
"4-5 TOTALS",1,1,1,0,0,69,,1,1,0,0,0,58
"5:00 - 5:30",0,0,3,3,0,35,,0,0,2,0,0,27
"5:30 - 6:00",1,2,1,0,0,28,,0,2,0,0,0,30
"5-6 TOTALS",1,2,4,3,0,63,,0,2,2,0,0,57
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
