Location:,"Market Street @ 55th Street",,,,,,Weather:,"Sunny and Clear",,,
Date:,2012/09/11,,,,,,Counter:,"Metro Traffic Data Inc.",,,
,,,,,,,,,,,
,"Primary street:",,"55th Street",,,,"Primary street:",,"55th Street",,
,Approach:,,Eastbound,,WestLeg,,Approach:,,Westbound,,EastLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,0,0,0,,0,0,0,0,1
4:15-4:30pm,0,0,0,0,0,,0,0,0,0,0
4:30-4:45pm,0,0,1,0,2,,2,0,2,0,0
4:45-5:00pm,0,0,0,0,2,,1,0,2,0,2
"4:00-5:00pm Total:",0,0,1,0,4,,3,0,4,0,3
5:00-5:15pm,1,0,2,0,1,,0,0,1,0,0
5:15-5:30pm,0,0,3,0,0,,0,0,1,0,0
5:30-5:45pm,0,0,2,0,0,,1,1,2,0,0
5:45-6:00pm,0,2,3,0,0,,0,0,1,0,2
"5:00-6:00pm Total:",1,2,10,0,1,,1,1,5,0,2
"4:00-6:00pm Total:",1,2,11,0,5,,4,1,9,0,5
,"Total # of Bicyclists: ",,14,,,,"Total # of Bicyclists: ",,14,,
,,,,,,,,,,,
,"Cross street:",,"Market Street",,,,"Cross street:",,"Market Street",,
,Approach:,,Northbound,,SouthLeg,,Approach:,,Southbound,,NorthLeg
Time,"Right Turn","Left Turn",Through,"On buses",Peds,,"Right Turn","Left Turn",Through,"On buses",Peds
4:00-4:15pm,0,0,0,0,2,,0,0,0,0,1
4:15-4:30pm,0,2,1,0,3,,0,0,2,0,0
4:30-4:45pm,0,1,3,0,1,,0,0,3,0,2
4:45-5:00pm,0,0,1,0,4,,0,0,3,0,1
"4:00-5:00pm Total:",0,3,5,0,10,,0,0,8,0,4
5:00-5:15pm,0,0,6,0,2,,1,0,0,0,4
5:15-5:30pm,0,0,2,0,0,,1,0,10,0,0
5:30-5:45pm,0,0,8,0,3,,0,0,7,0,0
5:45-6:00pm,0,2,5,0,2,,0,0,2,0,1
"5:00-6:00pm Total:",0,2,21,0,7,,2,0,19,0,5
"4:00-6:00pm Total:",0,5,26,0,17,,2,0,27,0,9
,"Total # of Bicyclists: ",,31,,,,"Total # of Bicyclists: ",,29,,
,,,,,,,,,,,
"Totals (4:00pm - 6:00pm)",,,,,,,,,,,
"Total # of Bicyclists: ",,88,"[Include bicyclists on sidewalks but not bicycles on buses.]",,,,,,,,
"Total # of Bikes on Buses:",,0,"[Count bicycles on the racks of buses.]",,,,,,,,
"Total # of Pedestrians",,36,"[Count pedestrians by crossing leg for each intersection approach.]",,,,,,,,
"Total # of Bikes on Sidewalk:",,0,"[Subtotal of bicyclists on sidewalks.]",,,,,,,,
,,,"[Bicyclists on sidewalks are also included in the turning movement counts.]",,,,,,,,
