,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"MACARTHUR & TELEGRAPH",,,,,,DATE:,,2003/09/25,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,5,1,0,2,,1,0,2,1,0,4
"7:30 - 8:00",0,0,5,1,0,8,,0,0,4,2,0,12
"7-8 TOTALS",0,0,10,2,0,10,,1,0,6,3,0,16
"8:00 - 8:30",0,0,4,2,1,11,,0,0,10,2,0,19
"8:30 - 9:00",0,0,5,1,0,11,,0,0,14,1,0,14
"8-9 TOTALS",0,0,9,3,1,22,,0,0,24,3,0,33
"11:00 - 11:30",1,0,4,0,0,18,,0,0,3,0,0,13
"11:30 - 12:00",0,0,0,1,0,5,,0,0,0,2,1,15
"11-12 TOTALS",1,0,4,1,0,23,,0,0,3,2,1,28
"12:00 - 12:30",0,1,5,0,1,3,,2,0,2,1,2,25
"12:30 - 1:00",0,0,6,0,0,2,,0,0,3,0,0,16
"12-1 TOTALS",0,1,11,0,0,5,,2,0,5,1,2,41
"4:00 - 4:30",0,0,5,0,0,11,,0,0,6,1,0,22
"4:30 - 5:00",0,0,3,1,0,11,,1,0,8,1,1,8
"4-5 TOTALS",0,0,8,1,0,22,,1,0,14,2,1,30
"5:00 - 5:30",1,0,10,2,1,8,,0,1,16,1,0,21
"5:30 - 6:00",2,0,8,0,0,10,,1,0,6,1,0,21
"5-6 TOTALS",3,0,18,2,1,18,,1,1,22,2,0,42
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"MACARTHUR EASTBOUND",,,,,,"          ","MACARTHUR WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,2,0,12,,2,0,1,0,0,3
"7:30 - 8:00",0,1,0,2,0,15,,2,0,3,0,0,3
"7-8 TOTALS",0,1,0,4,0,27,,4,0,4,0,0,6
"8:00 - 8:30",1,0,1,2,0,27,,0,0,3,1,0,13
"8:30 - 9:00",1,0,1,3,0,15,,1,0,2,1,0,14
"8-9 TOTALS",2,0,2,5,0,42,,1,0,5,2,0,27
"11:00 - 11:30",1,0,0,0,0,14,,0,0,1,2,0,29
"11:30 - 12:00",0,0,0,0,0,7,,2,0,0,3,0,16
"11-12 TOTALS",1,0,0,0,0,21,,2,0,1,5,0,45
"12:00 - 12:30",0,0,0,2,0,10,,0,0,2,2,0,29
"12:30 - 1:00",0,0,0,0,0,12,,0,0,0,2,0,12
"12-1 TOTALS",0,0,0,2,0,22,,0,0,2,4,0,41
"4:00 - 4:30",0,0,2,1,0,27,,0,0,0,2,0,29
"4:30 - 5:00",1,0,1,1,0,18,,2,0,1,3,0,11
"4-5 TOTALS",1,0,3,2,0,45,,2,0,1,5,0,40
"5:00 - 5:30",2,0,1,1,0,23,,0,0,0,4,0,21
"5:30 - 6:00",1,0,4,1,0,15,,2,1,1,2,0,26
"5-6 TOTALS",3,0,5,2,0,38,,2,1,1,6,0,47
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
