,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"16TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,1,2,0,0,9,,1,0,4,0,,2
"7:30 - 8:00",0,3,2,0,0,39,,1,0,4,0,,14
"7-8 TOTALS",0,5,4,0,0,48,,2,0,8,0,,16
"8:00 - 8:30",0,2,1,0,0,26,,4,0,1,0,,9
"8:30 - 9:00",1,1,3,0,0,42,,2,0,5,0,,14
"8-9 TOTALS",1,3,4,0,0,68,,6,0,6,0,,23
"11:00 - 11:30",0,0,3,0,0,37,,0,0,4,2,,22
"11:30 - 12:00",0,2,5,3,0,69,,0,0,4,2,,21
"11-12 TOTALS",0,2,8,3,0,106,,0,0,8,4,,43
"12:00 - 12:30",0,0,3,1,3,71,,1,0,2,3,,18
"12:30 - 1:00",0,0,3,0,0,106,,0,0,5,3,,41
"12-1 TOTALS",0,0,6,1,3,177,,1,0,7,6,,59
"4:00 - 4:30",0,0,2,0,0,41,,0,0,7,0,,32
"4:30 - 5:00",0,1,6,0,0,28,,0,0,3,0,,19
"4-5 TOTALS",0,1,8,0,0,69,,0,0,10,0,,51
"5:00 - 5:30",0,0,10,0,0,52,,0,0,0,0,,21
"5:30 - 6:00",0,1,9,0,0,26,,1,0,2,0,,10
"5-6 TOTALS",0,1,19,0,0,78,,1,0,2,0,,31
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"16TH STREET EASTBOUND",,,,,,"          ","DEAD END WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",1,0,0,0,0,10,,,,,,,
"7:30 - 8:00",0,0,0,0,0,30,,,,,,,
"7-8 TOTALS",1,0,0,0,0,40,,,,,,,
"8:00 - 8:30",0,0,0,0,0,33,,,,,,,
"8:30 - 9:00",0,0,0,0,0,47,,,,,,,
"8-9 TOTALS",0,0,0,0,0,80,,,,,,,
"11:00 - 11:30",0,0,0,0,0,43,,,,,,,
"11:30 - 12:00",0,2,0,0,0,52,,,,,,,
"11-12 TOTALS",0,2,0,0,0,95,,,,,,,
"12:00 - 12:30",0,1,1,0,0,71,,,,,,,
"12:30 - 1:00",0,2,0,0,0,104,,,,,,,
"12-1 TOTALS",0,3,1,0,0,175,,,,,,,
"4:00 - 4:30",0,0,0,0,0,66,,,,,,,
"4:30 - 5:00",1,7,1,0,0,76,,,,,,,
"4-5 TOTALS",1,7,1,0,0,142,,,,,,,
"5:00 - 5:30",4,1,1,0,0,53,,,,,,,
"5:30 - 6:00",2,0,0,0,0,44,,,,,,,
"5-6 TOTALS",6,1,1,0,0,97,,,,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
