,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"MACARTHUR & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,4,,,3,,0,0,7,,,9
"7:30 - 8:00",0,0,14,,,6,,0,0,6,,,23
"7-8 TOTALS",0,0,18,,,9,,0,0,13,,,32
"8:00 - 8:30",0,0,8,,,0,,0,0,14,,,17
"8:30 - 9:00",0,0,7,,,3,,0,1,17,,,19
"8-9 TOTALS",0,0,15,,,3,,0,1,31,,,36
"11:00 - 11:30",0,0,8,,,0,,0,0,6,,,11
"11:30 - 12:00",0,0,7,,,4,,0,0,9,,,7
"11-12 TOTALS",0,0,15,,,4,,0,0,15,,,18
"12:00 - 12:30",0,0,5,,,1,,0,0,8,,,8
"12:30 - 1:00",2,0,5,,,6,,0,1,7,,,16
"12-1 TOTALS",2,0,10,,,7,,0,1,15,,,24
"4:00 - 4:30",0,0,9,,,1,,0,0,11,,,23
"4:30 - 5:00",1,0,7,,,1,,0,1,9,,,12
"4-5 TOTALS",1,0,16,,,2,,0,1,20,,,35
"5:00 - 5:30",2,0,19,,,1,,0,1,13,,,23
"5:30 - 6:00",2,0,16,,,1,,0,3,11,,,14
"5-6 TOTALS",4,0,35,,,2,,0,4,24,,,37
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"MAC ARTHUR EASTBOUND                              EASTBOUND",,,,,,"          ","MAC ARTHUR   WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,,,0,,0,0,1,,,0
"7:30 - 8:00",0,0,0,,,0,,2,0,4,,,0
"7-8 TOTALS",0,1,0,,,0,,2,0,5,,,0
"8:00 - 8:30",0,0,3,,,10,,2,1,4,,,7
"8:30 - 9:00",1,1,1,,,11,,1,0,4,,,11
"8-9 TOTALS",1,1,4,,,21,,3,1,8,,,18
"11:00 - 11:30",0,0,2,,,14,,0,0,3,,,27
"11:30 - 12:00",0,0,1,,,22,,2,1,1,,,23
"11-12 TOTALS",0,0,3,,,36,,2,1,1,,,50
"12:00 - 12:30",1,1,0,,,16,,1,0,1,,,25
"12:30 - 1:00",1,5,3,,,17,,0,1,2,,,12
"12-1 TOTALS",2,6,3,,,33,,1,1,3,,,37
"4:00 - 4:30",0,0,10,,,11,,0,0,4,,,8
"4:30 - 5:00",0,1,10,,,10,,2,0,4,,,9
"4-5 TOTALS",0,1,20,,,21,,2,0,8,,,17
"5:00 - 5:30",0,0,19,,,11,,0,1,2,,,13
"5:30 - 6:00",0,4,17,,,14,,0,0,2,,,16
"5-6 TOTALS",0,4,36,,,25,,0,1,4,,,29
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
