,,,,,,,,"Turning Movement Report",,,,,,,,,,,,,
,,,,"Metro Traffic Data Inc.",,,,,,,,,,,,,,,,,
,,,,"310 N. Irwin Street - Suite 20",,,,,,,,,,,,,,,,,
,,,,"Hanford, CA 93230",,,,,,,,,,,"Prepared For:",,,,,,"Debbie Yueh"
,,,,,,,,,,,,,,,,,,,,,"Kittelson Associates, Inc."
,,,,"800-975-6938  Phone/Fax",,,,,,,,,,,,,,,,,"180 Grand Avenue, Suite 250"
,,,,www.metrotrafficdata.com,,,,,,,,,,,,,,,,,"Oakland, CA 94612"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,LOCATION,"San Pablo Avenue @ Grand Avenue",,,,,,,,,LATITUDE," 37.812718°",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,COUNTY,Alameda,,,,,,,,,LONGITUDE,-122.273988°,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"COLLECTION DATE",2012/09/12,,,,,,,,,WEATHER,"Sunny and Clear",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Vehicles",,,"N-Leg Peds",,"Southbound Vehicles",,,"S-Leg Peds",,"Eastbound Vehicles",,,"E-Leg Peds",,"Westbound Vehicles",,,"W-Leg Peds",
,Time,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,
,"4:00 PM - 4:15 PM",45,107,2,2,,27,56,1,5,,1,102,9,1,,3,126,13,1,
,"4:15 PM - 4:30 PM",18,92,7,0,,15,55,1,7,,6,127,6,2,,10,159,23,5,
,"4:30 PM - 4:45 PM",18,124,2,2,,29,61,0,6,,2,107,7,3,,1,163,11,1,
,"4:45 PM - 5:00 PM",24,106,7,1,,25,73,1,25,,8,101,8,7,,7,141,16,4,
,"5:00 PM - 5:15 PM",14,140,3,6,,22,84,0,6,,8,127,9,5,,2,174,22,6,
,"5:15 PM - 5:30 PM",13,120,4,0,,26,78,1,11,,8,127,10,3,,2,184,24,2,
,"5:30 PM - 5:45 PM",7,111,11,2,,27,75,1,7,,3,104,4,7,,5,177,12,3,
,"5:45 PM - 6:00 PM",14,96,5,2,,19,52,0,6,,5,83,8,6,,9,122,14,0,
,TOTAL,153,896,41,15,,190,534,5,73,,41,878,61,34,,39,1246,135,22,
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Bicyclists",,,,,"Southbound Bicyclists",,,,,"Eastbound Bicyclists",,,,,"Westbound Bicyclists",,,,
,Time,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus
,"4:00 PM - 4:15 PM",0,7,0,0,1,0,1,0,0,0,1,1,0,0,0,1,6,2,0,0
,"4:15 PM - 4:30 PM",1,9,0,0,1,0,3,0,0,1,0,3,1,0,0,0,5,1,0,0
,"4:30 PM - 4:45 PM",1,11,0,1,0,1,5,0,0,1,0,3,1,0,0,0,1,1,0,0
,"4:45 PM - 5:00 PM",0,9,0,1,0,2,5,0,1,0,0,5,1,0,0,0,4,0,0,0
,"5:00 PM - 5:15 PM",2,4,0,0,2,0,9,0,0,2,0,7,0,0,0,0,7,0,0,0
,"5:15 PM - 5:30 PM",0,12,0,0,1,3,9,0,1,1,0,10,2,0,0,0,2,1,0,0
,"5:30 PM - 5:45 PM",0,17,0,1,0,0,4,0,1,0,0,5,0,0,1,0,3,0,0,0
,"5:45 PM - 6:00 PM",0,9,0,1,1,0,4,0,0,5,0,7,0,0,1,0,6,2,0,0
,TOTAL,4,78,0,4,6,6,40,0,3,10,1,41,5,0,2,1,34,7,0,0
,,,,,,,,,,,,,,,,,,,,,
,,"Northbound Vehicles",,,"N-Leg Peds",,"Southbound Vehicles",,,"S-Leg Peds",,"Eastbound Vehicles",,,"E-Leg Peds",,"Westbound Vehicles",,,"W-Leg Peds",
,"PEAK HOUR",Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,,Left,Thru,Right,,
,"4:45 PM - 5:45 PM",48,467,23,10,,94,289,2,30,,24,441,31,21,,18,657,72,11,
,,"Northbound Bicyclists",,,,,"Southbound Bicyclists",,,,,"Eastbound Bicyclists",,,,,"Westbound Bicyclists",,,,
,"PEAK HOUR",Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus,Left,Thru,Right,SW,Bus
,"4:45 PM - 5:45 PM",2,42,0,2,4,3,26,0,2,8,0,29,2,0,2,0,18,3,0,0
,,,,,,,,,,,,,,,,,,,,,
,,PHF,,,,,,"San Pablo Avenue",,,,,,,,,,,,,
,AM,0.93223140495868,,,,,,Veh,2,289,94,,,,,,,,,,
,,,,,,,,Bikes,0,26,3,,,,,,,,,,
,,,,,,,,,,,,,Bikes,Veh,,,,,,,
,,,,,,24,0,,,,,,3,72,,,,,,,
,,"Grand Avenue",,,,441,29,,,,,,18,657,"Grand Avenue",,,,,,
,,,,,,31,2,,,,,,0,18,,,,,,,
,,,,,,Veh,Bikes,,,,,,,,,,,,,,
,,,,,,,,,2,42,0,Bikes,,,,,,,,,
,,,,,,,,,48,467,23,Veh,,,,,,,,,
,,,,,,,,"San Pablo Avenue",,,,,,,,,,,,,
