,"Mandela Northbound",,,,,,,"Mandela Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,6,,,2,,,1,5,,,4
4:30-5:00,1,,5,,1,5,,,2,7,,,3
"4-5pm Totals:",1,,11,,1,7,,,3,12,,,7
5:00-5:30,,,3,,,3,,,1,9,,,3
5:30-6:00,1,,6,,,3,,,,6,,,3
"5-6 pm Totals",1,,9,,,6,,,1,15,,,6
"4-6 pm Totals",2,,20,,1,13,,,4,27,,,13
"Total # of Bikes NB: ",,23,,,,,,"Total # of Bikes SB: ",,,31,,
,,,,,,,,,,,,,
,"W. Grand Eastbound",,,,,,,"W. Grand Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,,,,,,,2,,,,1
4:30-5:00,,,,,,3,,1,,,,,1
"4-5pm Totals:",,,,,,3,,1,2,,,,2
5:00-5:30,,1,,,,5,,,2,,1,,
5:30-6:00,,,,2,,,,,,,,1,1
"5-6 pm Totals",,1,,2,,5,,,2,,1,1,1
"4-6 pm Totals",,1,,2,,8,,1,4,,1,1,3
"Total # of Bikes EB: ",,3,,,,,,"Total # of Bikes WB: ",,,7,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (4-6 pm): ",,,,,64,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,"Total # of Bikes Using Facilities (4-6): ",,,,,59,,,,
