,,,,,,,,,,"Turning Movement Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Metro Traffic Data Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"310 N. Irwin Street - Suite 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Hanford, CA 93230",,,,,,,,,,,"Prepared For:",,,,,,"Debbie Yueh",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Kittelson Associates, Inc.",,,,,,,,,,,,,,,
,,,,,,"800-975-6938  Phone/Fax",,,,,,,,,,,,,,,,,"155 Grand Avenue, Suite 900",,,,,,,,,,,,,,,
,,,,,,www.metrotrafficdata.com,,,,,,,,,,,,,,,,,"Oakland, CA 94612",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LOCATION,,"Market Street/Adeline Street/57th Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COUNTY,,Alameda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"COLLECTION DATE",,2014/06/05,,,,,,,,,,WEATHER,"Sunny and Clear",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VEHICLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Northbound Adeline",,,,"Northbound Market",,,,"Southbound Adeline",,,,"Southbound Market",,,"Eastbound 57th",,,,,"Westbound 57th",,,,,,,,,,,,,,,,,
Time,Left-57th,"Left - Mkt",Thru,Right-57th,Left-57th,Thru,Right-Ad,Right-57th,Left-57th,Left-Mkt,Thru,Right-57th,Thru,Right-Ad,Right-57th,Left-Mkt,Left-Ad,Thru,Right-Mkt,Right-Ad,Left-Mkt,Left-Ad,Thru,Right-Mkt,Right-Ad,,,,,,,,,,,,,
"4:00 PM - 4:15 PM",0,19,31,4,0,164,9,0,0,1,5,0,170,33,1,0,0,0,0,1,1,0,1,1,0,441,,,,,,,,,,,,
"4:15 PM - 4:30 PM",1,23,24,2,0,158,19,1,0,1,6,1,161,42,0,0,0,1,1,1,0,1,2,0,0,445,,,,,,,,,,,,
"4:30 PM - 4:45 PM",0,31,32,0,0,182,18,0,0,2,6,0,167,57,1,0,1,0,0,0,0,0,0,3,2,502,,,,,,,,,,,,
"4:45 PM - 5:00 PM",2,38,32,0,2,187,17,0,1,2,5,0,182,34,0,0,0,0,2,0,1,0,2,0,1,508,,,,,,,,,,,,
"5:00 PM - 5:15 PM",0,41,43,3,0,187,24,0,0,0,12,1,184,54,1,0,0,3,1,0,0,1,2,0,1,558,,,,,,,,,,,,
"5:15 PM - 5:30 PM",1,72,55,0,1,184,22,0,0,4,5,0,197,45,1,1,1,3,1,1,0,0,2,1,2,599,,,,,,,,,,,,
"5:30 PM - 5:45 PM",0,53,31,2,0,194,18,0,0,3,7,0,205,65,0,1,0,1,0,0,1,1,0,1,3,586,,,,,,,,,,,,
"5:45 PM - 6:00 PM",0,49,32,0,0,167,16,1,0,1,7,0,182,51,0,0,0,0,0,0,0,0,0,0,0,506,,,,,,,,,,,,
TOTAL,4,326,280,11,3,1423,143,2,1,14,53,2,1448,381,4,2,2,8,5,3,3,3,9,6,9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BICYCLISTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Northbound Adeline",,,,,,"Northbound Market",,,,,,"Southbound Adeline",,,,,,"Southbound Market",,,,,"Eastbound 57th",,,,,,,"Westbound 57th",,,,,,,
Time,Left-57th,"Left - Mkt",Thru,Right-57th,SW,BUS,Left-57th,Thru,Right-Ad,Right-57th,SW,BUS,Left-57th,Left-Mkt,Thru,Right-57th,SW,BUS,Thru,Right-Ad,Right-57th,SW,BUS,Left-Mkt,Left-Ad,Thru,Right-Mkt,Right-Ad,SW,BUS,Left-Mkt,Left-Ad,Thru,Right-Mkt,Right-Ad,SW,BUS,
"4:00 PM - 4:15 PM",0,0,6,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,16
"4:15 PM - 4:30 PM",0,0,2,0,1,0,0,1,3,0,2,0,0,1,3,0,0,0,5,3,0,5,1,0,0,2,0,0,1,0,1,0,3,0,0,1,0,24
"4:30 PM - 4:45 PM",0,1,1,0,1,0,0,3,0,0,1,0,0,0,3,0,0,0,7,4,1,6,0,0,0,2,0,2,0,0,1,0,5,0,0,1,0,30
"4:45 PM - 5:00 PM",0,1,4,0,5,0,0,4,3,0,1,0,0,1,5,1,1,0,11,7,1,11,0,0,0,2,0,0,1,0,4,0,4,0,0,2,0,48
"5:00 PM - 5:15 PM",0,1,6,0,2,0,0,3,1,0,0,0,0,1,2,0,1,0,2,3,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21
"5:15 PM - 5:30 PM",0,0,3,0,0,0,0,5,0,0,2,0,0,2,4,0,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25
"5:30 PM - 5:45 PM",0,0,3,0,1,0,0,6,1,0,1,1,0,3,7,0,3,0,2,13,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36
"5:45 PM - 6:00 PM",0,0,5,0,3,0,0,6,0,0,2,0,0,0,1,0,1,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
TOTAL,0,3,30,0,16,0,0,29,8,0,9,1,0,8,26,1,6,0,38,42,2,43,1,0,1,8,0,2,2,0,7,0,14,0,0,4,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEDESTRIANS,,,,,,,,,,,,,"SUMMARY TOTALS",,,,,,,,,,,,,,,,,,,,,,,,
Time,"North Leg Adeline/Market",,,"South Leg Market",,"South Leg Adeline",,"East Leg 57th",,"West Leg 57th",,,,Vehicles,Bicyclists,Peds,Combined,,,,,,,,,,,,,,,,,,,,,
"4:00 PM - 4:15 PM",2,,,0,,0,,3,,0,,5,,441,16,5,462,,,,,,,,,,,,,,,,,,,,,
