"QTD PRJ #  ",,,,,"AM START",,,"AM END",,,,,
"CLIENT PRJ. #",,,,,"MD START",,,"MD END",,,,,
DATE:,,,,,"PM START",,,"PM END",,,,,
"E/W STREET:","N/S STREET:",VICINITY:,,,"CONTROL: ",,,,,,,,
,,,,,,,,,,,,," "
,,"N CROSSWALK","S CROSSWALK","E CROSSWALK","W CROSSWALK",,,,,,,,
"PASTE RAW DATA BELOW",,,,,,,,,,,,,
06:00:00,,0,0,0,0,,,,,,,,AM
06:15:00,,0,0,0,0,,,,,,,,
06:30:00,,0,0,0,0,,,,,,,,
06:45:00,,0,0,0,0,,,,,,,,
07:00:00,,0,0,0,0,,,,,,,,
07:15:00,,0,0,0,0,,,,,,,,
07:30:00,,0,0,0,0,,,,,,,,
07:45:00,,0,0,0,0,,,,,,,,
08:00:00,,,,,,,,,,,,,
08:15:00,,,,,,,,,,,,,
08:30:00,,,,,,,,,,,,,
08:45:00,,,,,,,,,,,,,
09:00:00,,,,,,,,,,,,,
09:15:00,,,,,,,,,,,,,
09:30:00,,,,,,,,,,,,,
09:45:00,,,,,,,,,,,,,
10:00:00,,,,,,,,,,,,,
10:15:00,,,,,,,,,,,,,
10:30:00,,,,,,,,,,,,,
10:45:00,,,,,,,,,,,,,MD
11:00:00,,,,,,,,,,,,,
11:15:00,,,,,,,,,,,,,
11:30:00,,,,,,,,,,,,,
11:45:00,,,,,,,,,,,,,
12:00:00,,,,,,,,,,,,,
12:15:00,,,,,,,,,,,,,
12:30:00,,0,0,0,0,,,,,,,,
12:45:00,,0,0,0,0,,,,,,,,
13:00:00,,0,0,0,0,,,,,,,,
13:15:00,,0,0,0,0,,,,,,,,
13:30:00,,0,0,0,0,,,,,,,,
13:45:00,,0,0,0,0,,,,,,,,
14:00:00,,0,0,0,0,,,,,,,,
14:15:00,,0,0,0,0,,,,,,,,
14:30:00,,,,,,,,,,,,,
14:45:00,,,,,,,,,,,,,
15:00:00,,,,,,,,,,,,,
15:15:00,,,,,,,,,,,,,
15:30:00,,,,,,,,,,,,,
15:45:00,,,,,,,,,,,,,
16:00:00,,0,0,0,0,,,,,,,,PM
16:15:00,,0,0,0,0,,,,,,,,
16:30:00,,0,0,0,0,,,,,,,,
16:45:00,,0,0,0,0,,,,,,,,
17:00:00,,0,0,0,0,,,,,,,,
17:15:00,,0,0,0,0,,,,,,,,
17:30:00,,0,0,0,0,,,,,,,,
17:45:00,,0,0,0,0,,,,,,,,
18:00:00,,,,,,,,,,,,,
18:15:00,,,,,,,,,,,,,
18:30:00,,,,,,,,,,,,,
18:45:00,,,,,,,,,,,,,
