,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"TELEGRAPH & AILEEN",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,2,1,0,3,2,,0,0,6,0,1,0
"7:30 - 8:00",0,0,4,1,0,0,,0,0,2,0,0,0
"7-8 TOTALS",0,2,5,1,3,2,,0,0,8,0,1,0
"8:00 - 8:30",0,0,3,0,0,0,,0,0,8,0,0,0
"8:30 - 9:00",0,0,22,0,0,0,,2,0,13,0,0,0
"8-9 TOTALS",0,0,25,0,0,0,,2,0,21,0,0,0
"11:00 - 11:30",0,0,7,0,0,1,,1,0,7,0,0,0
"11:30 - 12:00",0,0,3,0,0,0,,0,0,0,0,0,0
"11-12 TOTALS",0,0,10,0,0,1,,1,0,7,0,0,0
"12:00 - 12:30",0,1,6,0,0,2,,0,0,2,0,0,0
"12:30 - 1:00",0,0,10,0,0,1,,0,0,12,0,0,1
"12-1 TOTALS",0,1,16,0,0,3,,0,0,14,0,0,1
"4:00 - 4:30",0,1,8,0,0,0,,3,0,13,0,0,6
"4:30 - 5:00",0,0,3,0,0,0,,2,0,15,0,0,0
"4-5 TOTALS",0,1,11,0,0,0,,5,0,28,0,0,6
"5:00 - 5:30",0,1,14,0,0,1,,0,0,26,0,0,2
"5:30 - 6:00",0,0,6,0,0,0,,1,0,11,0,0,0
"5-6 TOTALS",0,1,20,0,0,1,,1,0,37,0,0,2
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"AILEEN EASTBOUND",,,,,,"          ","NO WESTBOUND DIRECTION",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",1,3,0,0,0,1,,,,,,,
"7:30 - 8:00",0,0,0,0,0,0,,,,,,,
"7-8 TOTALS",1,3,0,0,0,1,,,,,,,
"8:00 - 8:30",0,0,0,0,0,0,,,,,,,
"8:30 - 9:00",1,3,0,0,0,0,,,,,,,
"8-9 TOTALS",1,3,0,0,0,0,,,,,,,
"11:00 - 11:30",0,0,0,0,0,0,,,,,,,
"11:30 - 12:00",0,0,0,0,0,0,,,,,,,
"11-12 TOTALS",0,0,0,0,0,0,,,,,,,
"12:00 - 12:30",0,0,0,0,0,2,,,,,,,
"12:30 - 1:00",0,1,0,0,0,4,,,,,,,
"12-1 TOTALS",0,1,0,0,0,6,,,,,,,
"4:00 - 4:30",0,2,0,0,0,11,,,,,,,
"4:30 - 5:00",1,0,0,0,0,4,,,,,,,
"4-5 TOTALS",1,2,0,0,0,15,,,,,,,
"5:00 - 5:30",0,2,0,0,0,3,,,,,,,
"5:30 - 6:00",1,2,0,0,0,1,,,,,,,
"5-6 TOTALS",1,4,0,0,0,4,,,,,,,
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
