,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"27 Street & Telegraph",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,4,0,0,3,,0,1,5,0,0,0
"7:30 - 8:00",0,0,4,0,0,10,,0,0,7,0,0,7
"7-8 TOTALS",0,0,8,0,0,13,,0,1,12,0,0,7
"8:00 - 8:30",0,0,2,0,0,7,,0,0,10,0,0,11
"8:30 - 9:00",0,0,4,0,0,3,,0,1,12,0,0,5
"8-9 TOTALS",0,0,6,0,0,10,,0,1,22,0,0,16
"11:00 - 11:30",0,1,3,0,0,2,,1,1,2,0,0,9
"11:30 - 12:00",0,0,7,0,0,3,,0,0,9,0,0,9
"11-12 TOTALS",0,1,10,0,0,5,,1,1,11,0,0,18
"12:00 - 12:30",0,0,4,0,0,6,,1,0,4,0,0,14
"12:30 - 1:00",0,0,4,0,0,9,,0,1,1,0,0,8
"12-1 TOTALS",0,0,8,0,0,15,,1,1,5,0,0,22
"4:00 - 4:30",0,0,6,0,0,6,,0,2,6,0,0,14
"4:30 - 5:00",1,0,10,0,0,7,,0,2,8,0,0,10
"4-5 TOTALS",1,0,16,0,0,13,,0,4,14,0,0,24
"5:00 - 5:30",0,1,11,0,0,8,,0,0,4,0,0,4
"5:30 - 6:00",1,0,5,0,0,4,,1,1,8,0,0,1
"5-6 TOTALS",1,1,16,0,0,12,,1,1,12,0,0,5
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"27TH STREET EASTBOUND",,,,,,"          "," 27TH STRET  WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,1,0,8,,2,0,3,1,0,6
"7:30 - 8:00",0,0,0,1,0,10,,2,0,4,1,0,9
"7-8 TOTALS",0,0,0,2,0,18,,4,0,7,2,0,15
"8:00 - 8:30",0,0,1,0,0,5,,3,0,1,0,0,9
"8:30 - 9:00",2,0,0,0,0,10,,0,0,0,0,0,11
"8-9 TOTALS",2,0,1,0,0,15,,3,0,1,0,0,20
"11:00 - 11:30",0,0,0,1,0,9,,0,0,1,0,0,18
"11:30 - 12:00",0,0,0,0,0,9,,1,0,0,0,0,13
"11-12 TOTALS",0,0,0,1,0,18,,1,0,1,0,0,34
"12:00 - 12:30",0,0,1,0,0,14,,0,0,0,0,0,13
"12:30 - 1:00",0,0,0,1,0,8,,0,0,0,0,0,18
"12-1 TOTALS",0,0,1,1,0,22,,0,0,0,0,0,31
"4:00 - 4:30",1,0,1,0,0,13,,2,0,2,0,0,10
"4:30 - 5:00",0,2,3,0,0,17,,2,0,1,1,0,11
"4-5 TOTALS",1,2,4,0,0,30,,4,0,3,1,0,21
"5:00 - 5:30",0,2,2,0,0,23,,0,0,1,0,0,15
"5:30 - 6:00",0,0,4,0,0,22,,4,0,0,0,0,14
"5-6 TOTALS",0,2,6,0,0,45,,4,0,1,0,0,29
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
