WILTEC,,,,,,,,,,,,,,,,,,,,,,,,"Phone (925) 706-9911     Fax: (925) 706-9914     E-mail: info@wiltecusa.com"
"INTERSECTION BICYCLE AND PEDESTRIAN COUNT SUMMARY",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CLIENT:,,,"DOWLING ASSOCIAES",,,,,,,,,,,,,,,,,,,,,
PROJECT:,,,"E. 12TH STREET BIKEWAYS, CITY OF OAKLAND",,,,,,,,,,,,,,,,,,,,,
DATE:,,,"WEDNESDAY OCTOBER 11, 2006",,,,,,,,,,,,,,,,,,,,,
PERIODS:,,,"7:00 - 9:00 AM   and   4:00 - 6:00 PM",,,,,,,,,,,,,,,,,,,,,
INTERSECTION:,,N/S,"FRUITVALE AVENUE",,,,,,,,,,,,,,,,,,,,,
,,E/W,"E. 12 STREET",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"BICYCLE COUNT",,,,,,,,,,,,,,,"PEDESTRIAN COUNT",,,,,,"OTHER BICYCLE DATA",,,
,,,,,,,,,,,,,,,,,,,,,,,,
"7:00 AM TO 9:00 AM",,,,,,,,,,,,,,,"7:00 AM TO 9:00 AM",,,,,,"7:00 AM TO 9:00 AM",,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,LEG,,,,,,,"BICYCLES RIDDEN ON SIDEWALK","BICYCLES ON FRONTS OF TRANSIT BUSES","BICYCLES RIDDEN IN WRONG DIRECTION"
PERIOD,SBR,SBT,SBL,WBR,WBT,WBL,NBR,NBT,NBL,EBR,EBT,EBL,TOTAL,,NORTH,EAST,SOUTH,WEST,TOTAL,,PERIOD,,,
700-715,0,1,0,0,0,1,0,3,0,0,1,0,6,,2,11,3,3,19,,700-715,3,0,0
715-730,0,2,0,0,5,0,0,1,0,0,0,0,8,,14,11,2,0,27,,715-730,3,0,0
730-745,0,1,1,0,3,0,0,1,0,0,0,0,6,,10,9,11,9,39,,730-745,1,1,0
745-800,0,0,0,2,3,1,0,1,0,0,3,1,11,,12,9,11,2,34,,745-800,3,3,0
800-815,1,0,0,0,1,0,0,1,1,0,0,0,4,,12,5,32,1,50,,800-815,2,0,0
815-830,0,4,0,0,1,1,18,3,0,0,1,0,28,,14,10,26,5,55,,815-830,2,1,0
830-845,0,1,0,0,1,0,0,1,0,0,0,0,3,,8,7,35,4,54,,830-845,2,0,0
845-900,0,2,0,0,0,0,1,2,1,0,2,0,8,,5,1,27,3,36,,845-900,6,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
"HOUR TOTALS",,,,,,,,,,,,,,,"HOUR TOTALS",,,,,,"HOUR TOTALS",,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,LEG,,,,,,,"BICYCLES RIDDEN ON SIDEWALK","BICYCLES ON FRONTS OF TRANSIT BUSES","BICYCLES RIDDEN IN WRONG DIRECTION"
PERIOD,SBR,SBT,SBL,WBR,WBT,WBL,NBR,NBT,NBL,EBR,EBT,EBL,TOTAL,,NORTH,EAST,SOUTH,WEST,TOTAL,,PERIOD,,,
700-800,0,4,1,2,11,2,0,6,0,0,4,1,31,,38,40,27,14,119,,700-800,10,4,0
715-815,1,3,1,2,12,1,0,4,1,0,3,1,29,,48,34,56,12,150,,715-815,9,4,0
730-830,1,5,1,2,8,2,18,6,1,0,4,1,49,,48,33,80,17,178,,730-830,8,5,0
745-845,1,5,0,2,6,2,18,6,1,0,4,1,46,,46,31,104,12,193,,745-845,9,4,0
800-900,1,7,0,0,3,1,19,7,2,0,3,0,43,,39,23,120,13,195,,800-900,12,2,0
,,,,,,,,,,,,,,,,,,,,,,,,
"4:00 AM TO 6:00 PM",,,,,,,,,,,,,,,"4:00 AM TO 6:00 AM",,,,,,"4:00 AM TO 6:00 AM",,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,LEG,,,,,,,"BICYCLES RIDDEN ON SIDEWALK","BICYCLES ON FRONTS OF TRANSIT BUSES","BICYCLES RIDDEN IN WRONG DIRECTION"
PERIOD,SBR,SBT,SBL,WBR,WBT,WBL,NBR,NBT,NBL,EBR,EBT,EBL,TOTAL,,NORTH,EAST,SOUTH,WEST,TOTAL,,PERIOD,,,
400-415,0,1,0,0,0,0,0,0,0,0,1,0,2,,2,5,22,1,30,,400-415,2,0,0
415-430,0,0,0,0,2,0,0,4,0,0,3,0,9,,7,6,41,2,56,,415-430,1,0,1
430-445,0,3,0,0,0,0,0,0,0,0,0,0,3,,9,7,41,6,63,,430-445,8,0,0
445-500,0,0,0,0,0,0,0,0,0,0,2,0,2,,1,9,56,4,70,,445-500,7,0,1
500-515,0,0,0,0,1,0,1,0,0,0,1,1,4,,10,13,65,2,90,,500-515,6,0,2
515-530,0,0,0,1,1,0,0,0,0,0,0,0,2,,7,8,36,5,56,,515-530,11,0,1
530-545,0,0,0,0,0,0,0,0,1,0,0,0,1,,10,6,11,7,34,,530-545,2,1,2
545-600,0,0,0,0,0,0,0,0,0,0,1,0,1,,9,9,15,5,38,,545-600,6,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
"HOUR TOTALS",,,,,,,,,,,,,,,"HOUR TOTALS",,,,,,"HOUR TOTALS",,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,LEG,,,,,,,"BICYCLES RIDDEN ON SIDEWALK","BICYCLES ON FRONTS OF TRANSIT BUSES","BICYCLES RIDDEN IN WRONG DIRECTION"
PERIOD,SBR,SBT,SBL,WBR,WBT,WBL,NBR,NBT,NBL,EBR,EBT,EBL,TOTAL,,NORTH,EAST,SOUTH,WEST,TOTAL,,PERIOD,,,
400-500,0,4,0,0,2,0,0,4,0,0,6,0,16,,19,27,160,13,219,,400-500,18,0,2
415-515,0,3,0,0,3,0,1,4,0,0,6,1,18,,27,35,203,14,279,,415-515,22,0,4
430-530,0,3,0,1,2,0,1,0,0,0,3,1,11,,27,37,198,17,279,,430-530,32,0,4
445-545,0,0,0,1,2,0,1,0,1,0,3,1,9,,28,36,168,18,250,,445-545,26,1,6
500-600,0,0,0,1,2,0,1,0,1,0,2,1,8,,36,36,127,19,218,,500-600,25,1,5
