,"Fruitvale Southbound",,,,,,,"Fruitvale Northbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,19,,,4,,,,2,1,,4
4:30-5:00,3,,4,,,2,,,1,6,1,,
"4-5pm Totals:",3,,23,,,6,,,1,8,2,,4
5:00-5:30,1,,7,2,,7,,,4,3,,,4
5:30-6:00,,,9,5,,6,,,,14,2,,1
"5-6 pm Totals",1,,16,7,,13,,,4,17,2,,5
"4-6 pm Totals",4,,39,7,,19,,,5,25,4,,9
"Total # of Bikes NB: ",,50,,,,,,"Total # of Bikes SB: ",,,34,,
,,,,,,,,,,,,,
,"E 7th Westbount",,,,,,,N/A,,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,2,1,,,,1,,,,,,,
4:30-5:00,,,,,,,,,,,,,
"4-5pm Totals:",2,1,,,,1,,,,,,,
5:00-5:30,,5,,,,2,,,,,,,
5:30-6:00,,1,,,,,,,,,,,
"5-6 pm Totals",,6,,,,2,,,,,,,
"4-6 pm Totals",2,7,,,,3,,,,,,,
"Total # of Bikes EB: ",,9,,,,,,"Total # of Bikes WB: ",,,,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (4-6 pm): ",,,,,93,,,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes On-Street (4-6): ",,,,,82,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
