"2 Hour Diagram for QA Flow Check",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"INTERSECTION #:",,,009,,,,,,"PROJECT #:",,,080170,,,,,,"AM PEAK:",,,#REF!,,,
"NORTH / SOUTH:",,,"Bancroft Avenue",,,,,,DATE:,,,2008/04/09,,,,,,"MD PEAK:",,,"1230 PM",,,
"EAST / WEST:",,,"42nd Avenue",,,,,,VICINITY:,,,"OAKLAND, CA",,,,,,"PM PEAK:",,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,LN,0,0,0,,,,,,,,,,,,,
,,,,,,,,AM,#REF!,#REF!,#REF!,,,,TOTAL,#REF!,,,,,,,,
,,,,,,,,MD,0,0,0,,,,PM,#REF!,,,,,,,,
,,,,,,,,PM,#REF!,#REF!,#REF!,,,,MD,0,,,,,,,,
,,,,,,,,TOTAL,#REF!,#REF!,#REF!,,,,AM,#REF!,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,PM,MD,AM,,,,,,,,,,,,,,,TOTAL,PM,MD,AM,LN
,,#REF!,#REF!,725,#REF!,,,,,,,,,,,,,,,#REF!,#REF!,0,#REF!,0
,,,,,,,,,,,,NORTH,,,,,,,,#REF!,#REF!,725,#REF!,2
,0,,,,,,,,,,SIGNALIZED,,,,,,,,,#REF!,#REF!,138,#REF!,1
,,,,,,,,,,WEST,,,,,EAST,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,
,LN,AM,MD,PM,TOTAL,,,,,,,,,,,,,,,,,,,
,0,#REF!,0,#REF!,#REF!,,,,,,,SOUTH,,,,,,,,,,,,
,2,#REF!,417,#REF!,#REF!,,,,,,,,,,,,,,,#REF!,417,#REF!,#REF!,
,0,#REF!,200,#REF!,#REF!,,,,,,,,,,,,,,,AM,MD,PM,TOTAL,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,TOTAL,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,AM,#REF!,,,,,PM,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,MD,338,,,,,MD,0,0,0,,,,,,,
,,,,,,,,PM,#REF!,,,,,AM,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,TOTAL,#REF!,,,,,LN,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"AM COUNT",,,,"6:00 AM",,TO,,"8:00 AM",,,"AM PEAK",,,,#REF!,,,,,,,,,
"MD COUNT",,,,"12:30 PM",,TO,,"2:30 PM",,,"MD PEAK",,,,"1230 PM",,,,,,,,,
"PM COUNT",,,,"4:00 PM",,TO,,"6:00 PM",,,"PM PEAK",,,,#REF!,,,,,,,,,
