"2 Hour Diagram for QA Flow Check",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"INTERSECTION #:",,,009,,,,,,"PROJECT #:",,,080170,,,,,,"AM PEAK:",,,"700 AM",,,
"NORTH / SOUTH:",,,"Bancroft Avenue",,,,,,DATE:,,,2008/04/09,,,,,,"MD PEAK:",,,#REF!,,,
"EAST / WEST:",,,"42nd Avenue",,,,,,VICINITY:,,,"OAKLAND, CA",,,,,,"PM PEAK:",,,#REF!,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,LN,0,0,0,,,,,,,,,,,,,
,,,,,,,,AM,0,0,0,,,,TOTAL,#REF!,,,,,,,,
,,,,,,,,MD,#REF!,#REF!,#REF!,,,,PM,#REF!,,,,,,,,
,,,,,,,,PM,#REF!,#REF!,#REF!,,,,MD,#REF!,,,,,,,,
,,,,,,,,TOTAL,#REF!,#REF!,#REF!,,,,AM,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,PM,MD,AM,,,,,,,,,,,,,,,TOTAL,PM,MD,AM,LN
,,#REF!,#REF!,#REF!,682,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,0,0
,,,,,,,,,,,,NORTH,,,,,,,,#REF!,#REF!,#REF!,682,2
,0,,,,,,,,,,SIGNALIZED,,,,,,,,,#REF!,#REF!,#REF!,30,1
,,,,,,,,,,WEST,,,,,EAST,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,
,LN,AM,MD,PM,TOTAL,,,,,,,,,,,,,,,,,,,
,0,0,#REF!,#REF!,#REF!,,,,,,,SOUTH,,,,,,,,,,,,
,2,127,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,127,#REF!,#REF!,#REF!,
,0,53,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,AM,MD,PM,TOTAL,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,TOTAL,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,AM,83,,,,,PM,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,MD,#REF!,,,,,MD,#REF!,#REF!,#REF!,,,,,,,
,,,,,,,,PM,#REF!,,,,,AM,0,0,0,,,,,,,
,,,,,,,,TOTAL,#REF!,,,,,LN,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"AM COUNT",,,,"6:00 AM",,TO,,"8:00 AM",,,"AM PEAK",,,,"700 AM",,,,,,,,,
"MD COUNT",,,,"12:30 PM",,TO,,"2:30 PM",,,"MD PEAK",,,,#REF!,,,,,,,,,
"PM COUNT",,,,"4:00 PM",,TO,,"6:00 PM",,,"PM PEAK",,,,#REF!,,,,,,,,,
