,"Market Northbound",,,,,,,"Market Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,,,,,,1,,,,,
4:30-5:00,,,,,,,,,,,,,
"4-5pm Totals:",,,,,,,,1,,,,,
5:00-5:30,,,,,,,,,,,,,
5:30-6:00,,,,,,,,,,,,,
"5-6 pm Totals",,,,,,,,,,,,,
"4-6 pm Totals",,,,,,,,1,,,,,
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB: ",,,1,,
,,,,,,,,,,,,,
,"3rd St. Eastbound",,,,,,,"3rd St. Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,,1,,10,,,,1,,,
4:30-5:00,,,,,,7,,,,2,,,3
"4-5pm Totals:",,,,1,,17,,,,3,,,3
5:00-5:30,,,2,,,4,,,,2,,,1
5:30-6:00,1,2,2,,,6,,1,,2,,,
"5-6 pm Totals",1,2,4,,,10,,1,,4,,,1
"4-6 pm Totals",1,2,4,1,,27,,1,,7,,,4
"Total # of Bikes EB: ",,8,,,,,,"Total # of Bikes WB: ",,,8,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (4-6 pm): ",,,,,17,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,"Total # of Bikes Using Facilities (4-6): ",,,,,16,,,,
