,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"40TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",1,0,9,0,0,22,,0,0,1,5,0,5
"7:30 - 8:00",0,0,6,0,0,28,,0,0,2,5,3,4
"7-8 TOTALS",1,0,15,0,0,50,,0,0,3,10,3,9
"8:00 - 8:30",0,1,8,0,0,16,,0,0,15,5,2,38
"8:30 - 9:00",0,0,7,0,0,3,,0,0,12,0,0,19
"8-9 TOTALS",0,1,15,0,0,19,,0,0,27,5,2,57
"11:00 - 11:30",0,0,7,0,0,2,,1,0,9,0,0,12
"11:30 - 12:00",0,0,9,0,0,4,,0,0,3,0,0,8
"11-12 TOTALS",0,0,16,0,0,6,,1,0,12,0,0,20
"12:00 - 12:30",0,0,6,0,0,2,,0,0,10,0,0,7
"12:30 - 1:00",0,0,9,0,0,2,,0,0,14,0,0,12
"12-1 TOTALS",0,0,15,0,0,4,,0,0,24,0,0,19
"4:00 - 4:30",0,3,7,0,0,1,,0,0,5,0,0,18
"4:30 - 5:00",0,0,12,0,0,2,,0,0,10,0,0,12
"4-5 TOTALS",0,3,19,0,0,3,,0,0,15,0,0,30
"5:00 - 5:30",0,0,12,0,0,0,,0,0,5,0,0,10
"5:30 - 6:00",1,0,19,0,0,1,,0,1,15,0,0,9
"5-6 TOTALS",1,0,31,0,0,1,,0,1,20,0,0,19
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"40TH STREET EASTBOUND",,,,,,"          ","40TH STREET  WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",2,2,4,0,0,34,,1,0,7,0,0,16
"7:30 - 8:00",0,1,13,0,0,17,,0,0,14,0,0,26
"7-8 TOTALS",2,3,17,0,0,51,,1,0,21,0,0,42
"8:00 - 8:30",0,0,3,0,0,0,,0,0,12,0,0,13
"8:30 - 9:00",0,0,0,0,0,0,,0,0,3,0,0,2
"8-9 TOTALS",0,0,3,0,0,0,,0,0,15,0,0,15
"11:00 - 11:30",0,0,0,0,0,2,,0,0,2,0,0,13
"11:30 - 12:00",0,0,0,0,0,1,,0,0,4,0,0,2
"11-12 TOTALS",0,0,0,0,0,3,,0,0,6,0,0,15
"12:00 - 12:30",0,0,2,0,0,5,,0,0,1,0,0,3
"12:30 - 1:00",0,0,4,0,0,1,,0,0,4,0,0,6
"12-1 TOTALS",0,0,6,0,0,6,,0,0,5,0,0,9
"4:00 - 4:30",0,0,1,0,0,9,,0,1,1,0,0,17
"4:30 - 5:00",0,0,2,0,0,5,,0,0,7,0,0,26
"4-5 TOTALS",0,0,3,0,0,14,,0,1,8,0,0,43
"5:00 - 5:30",0,0,0,0,0,0,,0,0,3,0,0,23
"5:30 - 6:00",0,0,4,0,0,1,,0,0,4,0,0,23
"5-6 TOTALS",0,0,4,0,0,1,,0,0,7,0,0,46
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
