WILTEC,,,,,,,,,,,,,"Phone: (925) 706-9911     Fax: (925) 706-9914",,,
"KIMLEY-HORN AND ASSOCIATES",,,,,,,,,,,,,"INTERSECTION TURNING MOVEMENT COUNT SUMMARY",,,
,,,,,,,,,,,,,,,,
INTERSECTION:,,N/S,"INTERNATIONAL BLVD",,,,,DATE:,,"TUESDAY, MARCH 15TH, 2005",,,,,,
,,E/W,"16TH AVENUE",,,,,PERIOD:,,"7:00 AM TO 9:00 AM",,,,,,
,,,,,,,,,,,,,,,,
" VEHICLE COUNTS",,,,,,,,,,,,,,,,
"15 MIN COUNTS",1,2,3,4,5,6,7,8,9,10,11,12,,,,
PERIOD,SBRT,SBTH,SBLT,WBRT,WBTH,WBLT,NBRT,NBTH,NBLT,EBRT,EBTH,EBLT,TOTAL,,,
700-715,6,55,0,3,3,2,4,68,5,2,3,2,153,,,
715-730,5,79,1,6,7,2,4,75,6,1,3,7,196,,,
730-745,10,71,2,3,11,2,13,105,6,9,9,7,248,," ",
745-800,11,98,4,3,17,7,18,135,5,6,17,4,325,,,
800-815,10,83,0,1,14,13,18,139,9,7,14,9,317,,,
815-830,18,96,1,0,11,8,11,141,5,6,10,13,320,,,
830-845,11,102,4,1,11,4,11,123,9,11,12,9,308,,,
845-900,10,93,3,3,12,7,5,113,8,6,11,11,282,,,
"HOUR TOTALS",1,2,3,4,5,6,7,8,9,10,11,12,,,," "
PERIOD,SBRT,SBTH,SBLT,WBRT,WBTH,WBLT,NBRT,NBTH,NBLT,EBRT,EBTH,EBLT,TOTAL,,,
700-800,32,303,7,15,38,13,39,383,22,18,32,20,922,,,
715-815,36,331,7,13,49,24,53,454,26,23,43,27,1086,,,
730-830,49,348,7,7,53,30,60,520,25,28,50,33,1210,,,
745-845,50,379,9,5,53,32,58,538,28,30,53,35,1270,,,
800-900,49,374,8,5,48,32,45,516,31,30,47,42,1227," ",,
,,,,,,,,,,,,,,,,
"AM PEAK HOUR:",745-845,,,,,,,,,,,,,,,
,,,,,,,,5,,,,,,,,
,,,,,,,,,,,,,,s,,
,,,50,379,9,,,53,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,32,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,35,,,,,,,,,,,,,
,,,,,,,,,,,s,,,,,
"16TH AVENUE",,,53,,,28,538,58,,,,,,,,
,,,,,,,,,,,,,,,,
,,,30,,,,"INTERNATIONAL BLVD",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
" PEDESTRIAN COUNTS",,,,,,," BICYCLE COUNTS",,,,,,,,,
"15 MIN COUNTS",NORTH,EAST,SOUTH,WEST,TOTAL,,"15 MIN COUNTS",,NORTH,EAST,SOUTH,WEST,TOTAL,,,
PERIOD,LEG,LEG,LEG,LEG,,,PERIOD,,LEG,LEG,LEG,LEG,,,,
700-715,1,0,1,0,2,,700-715,,1,0,0,0,1,,,
715-730,1,4,2,1,8,,715-730,,1,0,2,0,3,,,
730-745,1,1,2,0,4,,730-745,,0,1,1,0,2,,,
745-800,3,10,1,0,14,,745-800,,0,5,0,0,5,,,
800-815,1,0,2,4,7,,800-815,,0,0,0,2,2,,,
815-830,1,3,4,0,8,,815-830,,0,2,1,0,3,,,
830-845,2,9,4,5,20,,830-845,,1,3,0,3,7,,,
845-900,2,7,2,0,11,,845-900,,0,2,0,1,3,,,
"HOUR TOTALS",NORTH,EAST,SOUTH,WEST,TOTAL,,"HOUR TOTALS",,NORTH,EAST,SOUTH,WEST,TOTAL,,,
PERIOD,LEG,LEG,LEG,LEG,,,PERIOD,,LEG,LEG,LEG,LEG,,,,
700-800,6,15,6,1,28,,700-800,,2,6,3,0,11,,,
715-815,6,15,7,5,33,,715-815,,1,6,3,2,12,,,
730-830,6,14,9,4,33,,730-830,,0,8,2,2,12,,,
745-845,7,22,11,9,49,,745-845,,1,10,1,5,17,,,
800-900,6,19,12,9,46,,800-900,,1,7,1,6,15,,,
