,"Northbound: Foothill Blvd",,,,,,,"Southbound: Foothill Blvd",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:30-3:00,,,1,,,,,,,,,,
3:00-3:30,,,1,,,,,,,4,,,
"2:30-3:30pm Total:",,,2,,,,,,,4,,,
3:30-4:00,,,,,,,,,,,,,
4:00-4:30,,,,,,,,,,,,,
"3:30-4:30pm Total:",,,,,,,,,,,,,
"2:30-4:30pm Total:",,,2,,,,,,,4,,,
"Total # of Bikes NB: ",,2,,,,,,"Total # of Bikes SB: ",,,4,,
,,,,,,,,,,,,,
,"Eastbound: 64th Avenue",,,,,,,"Westbound: 64th Avenue",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
2:30-3:00,,,,,,,,,,,,,
3:00-3:30,,,,,,,,,,,,,
"2:30-3:30pm Total:",,,,,,,,,,,,,
3:30-4:00,,1,1,,,,,,,1,,,
4:00-4:30,,,,,,,,,,,,,
"3:30-4:30pm Total:",,1,1,,,,,,,1,,,
"2:30-4:30pm Total:",,1,1,,,,,,,1,,,
"Total # of Bikes EB: ",,2,,,,,,"Total # of Bikes WB: ",,,1,,
,,,,,,,,,,,,,
,,,"Total # of Bikes Counted (2:30-4:30pm): ",,,,,,9,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
