,"Vernon Southbond",,,,,,,N/A,,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,,,,1,,,,,,,
4:30-5:00,,1,,,,,,,,,,,
"4-5pm Totals:",,1,,,,1,,,,,,,
5:00-5:30,,1,,,,3,,,,,,,
5:30-6:00,,1,,,,2,,,,,,,
"5-6 pm Totals",,2,,,,5,,,,,,,
"4-6 pm Totals",,3,,,,6,,,,,,,
"Total # of Bikes NB: ",,3,,,,,,"Total # of Bikes SB: ",,,,,
,,,,,,,,,,,,,
,"Santa Clara Eastbound",,,,,,,"Santa Clara Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
4:00-4:30,,,,,,10,,,,1,,,7
4:30-5:00,,,,1,,5,,,,2,,,1
"4-5pm Totals:",,,,1,,15,,,,3,,,8
5:00-5:30,,,2,,,14,,,,1,,,5
5:30-6:00,,,,,,7,,1,,3,,,9
"5-6 pm Totals",,,2,,,21,,1,,4,,,14
"4-6 pm Totals",,,2,1,,36,,1,,7,,,22
"Total # of Bikes EB: ",,3,,,,,,"Total # of Bikes WB: ",,,8,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (4-6 pm): ",,,,,14,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,"Total # of Bikes Using Facilities (4-6): ",,,,,13,,,,
