,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"51ST AND TELEGRAPH",,,,,,DATE:,,2003/09/16,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,6,1,2,9,,0,1,6,1,2,3
"7:30 - 8:00",1,0,5,1,0,7,,0,0,3,1,1,8
"7-8 TOTALS",1,0,11,2,2,16,,0,1,9,2,3,11
"8:00 - 8:30",1,0,11,2,0,7,,0,0,11,0,0,7
"8:30 - 9:00",0,0,8,1,2,8,,0,2,9,0,0,10
"8-9 TOTALS",1,0,19,3,2,15,,0,2,20,0,0,17
"11:00 - 11:30",1,0,7,1,2,21,,0,0,5,2,0,8
"11:30 - 12:00",0,0,8,4,2,13,,2,0,11,1,2,15
"11-12 TOTALS",1,0,15,5,4,34,,2,0,16,3,2,23
"12:00 - 12:30",4,0,5,0,0,12,,4,0,3,1,1,16
"12:30 - 1:00",2,0,5,0,0,21,,0,0,2,5,1,12
"12-1 TOTALS",6,0,10,0,0,33,,4,0,5,6,2,28
"4:00 - 4:30",1,0,10,2,2,23,,0,0,12,2,0,18
"4:30 - 5:00",3,0,9,2,1,20,,1,4,12,1,0,3
"4-5 TOTALS",4,0,19,4,3,43,,1,4,24,3,0,21
"5:00 - 5:30",2,0,16,3,0,18,,1,1,15,3,0,10
"5:30 - 6:00",0,0,9,3,0,6,,0,1,7,3,0,7
"5-6 TOTALS",2,0,25,6,0,24,,1,2,22,6,0,17
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"51ST EASTBOUND",,,,,,"          ","51ST WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,0,0,14,,0,0,1,0,0,4
"7:30 - 8:00",0,0,3,0,0,20,,2,0,2,0,0,15
"7-8 TOTALS",0,0,3,0,0,34,,2,0,3,0,0,19
"8:00 - 8:30",0,0,1,0,0,18,,0,0,3,0,0,12
"8:30 - 9:00",0,0,1,0,0,14,,0,0,3,0,0,12
"8-9 TOTALS",0,0,2,0,0,32,,0,0,6,0,0,24
"11:00 - 11:30",0,0,2,0,0,28,,1,0,2,0,0,21
"11:30 - 12:00",1,0,3,1,0,27,,0,0,1,0,0,23
"11-12 TOTALS",1,0,5,1,0,55,,1,0,3,0,0,44
"12:00 - 12:30",2,0,2,0,0,28,,4,0,1,0,0,23
"12:30 - 1:00",2,1,2,0,0,39,,1,0,2,0,0,50
"12-1 TOTALS",4,1,4,0,0,67,,5,0,4,0,0,73
"4:00 - 4:30",1,2,2,0,0,51,,1,0,2,2,0,23
"4:30 - 5:00",1,0,4,0,0,31,,3,0,0,1,0,13
"4-5 TOTALS",2,1,6,0,0,82,,4,0,2,3,0,36
"5:00 - 5:30",0,0,7,2,0,34,,2,0,3,1,0,14
"5:30 - 6:00",0,0,4,0,0,28,,0,0,0,0,0,11
"5-6 TOTALS",0,0,11,2,0,62,,2,0,3,1,0,25
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
