,"Telegraph Northbound",,,,,,,"Telegraph Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
3:00-3:30,0,0,5,0,0,21,,0,0,3,0,1,22
3:30-4:00,0,0,3,0,1,9,,1,1,0,1,0,12
"3-4pm Totals: ",0,0,8,0,1,30,,1,1,3,1,1,34
4:00-4:30,0,0,7,0,0,15,,0,1,6,0,0,29
4:30-5:00,0,0,8,3,0,13,,1,0,3,0,0,10
"4-5pm Totals:",0,0,15,3,0,28,,1,1,9,0,0,39
5:00-5:30,0,0,4,0,0,10,,0,2,6,1,0,16
5:30-6:00,1,0,5,0,0,17,,0,1,3,0,0,16
"5-6 pm Totals",1,0,9,0,0,27,,0,3,9,1,0,32
"3-6 pm Totals",1,0,32,3,1,85,,2,5,21,2,1,105
"Total # of Bikes NB: ",,37,,,,,,"Total # of Bikes SB: ",,,31,,
,,,,,,,,,,,,,
,"27th St. Eastbound",,,,,,,"27th St. Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
3:00-3:30,0,1,0,0,0,6,,1,0,2,0,0,5
3:30-4:00,0,0,0,0,0,4,,1,0,0,0,0,5
"3-4pm Totals: ",0,1,0,0,0,10,,2,0,2,0,0,10
4:00-4:30,1,0,0,0,0,17,,0,0,0,0,0,2
4:30-5:00,0,1,0,0,0,2,,0,0,0,0,0,3
"4-5pm Totals:",1,1,0,0,0,19,,0,0,0,0,0,5
5:00-5:30,0,0,1,0,0,7,,0,0,1,0,0,3
5:30-6:00,0,0,0,0,0,10,,0,0,0,2,0,5
"5-6 pm Totals",0,0,1,0,0,17,,0,0,1,2,0,8
"3-6 pm Totals",1,2,1,0,0,46,,2,0,3,2,0,23
"Total # of Bikes EB: ",,4,,,,,,"Total # of Bikes WB: ",,,7,,
,,,,"Total # of Bikes Counted (3-6 pm): ",,,,,79,,,,
"Field Observations: There was a fairly high number of children (aproximately 12-15 in age).",,,,,,,,,,,,,
,"     Overall helmet wearing was low (33%). Please see attached report for more details.",,,,,,,,,,,,
