,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"17TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",1,0,3,1,0,9,,0,2,4,0,0,9
"7:30 - 8:00",0,0,1,1,0,20,,0,1,6,0,0,23
"7-8 TOTALS",1,0,4,2,0,29,,0,3,10,0,0,32
"8:00 - 8:30",0,7,1,1,0,22,,0,4,5,0,0,23
"8:30 - 9:00",0,0,2,1,0,29,,0,2,4,0,0,22
"8-9 TOTALS",0,7,3,2,0,51,,0,6,9,0,0,45
"11:00 - 11:30",0,3,4,0,0,19,,2,0,1,0,0,17
"11:30 - 12:00",1,0,4,0,0,38,,0,0,9,0,0,32
"11-12 TOTALS",1,3,8,0,0,57,,2,0,10,0,0,49
"12:00 - 12:30",1,0,0,0,0,45,,2,1,6,0,0,27
"12:30 - 1:00",1,0,2,0,0,52,,0,2,1,0,0,17
"12-1 TOTALS",2,0,2,0,0,97,,2,3,7,0,0,44
"4:00 - 4:30",0,0,3,0,0,36,,0,2,3,0,0,18
"4:30 - 5:00",0,2,6,0,0,30,,0,0,0,0,0,38
"4-5 TOTALS",0,2,9,0,0,66,,0,2,3,0,0,57
"5:00 - 5:30",1,0,3,0,0,31,,0,1,0,0,0,31
"5:30 - 6:00",0,0,2,0,0,17,,0,2,2,0,0,22
"5-6 TOTALS",1,0,5,0,0,48,,0,3,2,0,0,53
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
," 17TH STREET EASTBOUND",,,,,,"          "," 17TH STREET WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",0,0,0,,0,18,,0,0,0,0,0,6
"7:30 - 8:00",0,0,0,0,0,39,,0,0,1,0,0,16
"7-8 TOTALS",0,0,0,0,0,57,,0,0,1,0,0,22
"8:00 - 8:30",0,0,1,0,0,41,,1,0,0,0,0,17
"8:30 - 9:00",0,0,4,0,0,51,,0,1,0,0,0,23
"8-9 TOTALS",0,0,5,0,0,92,,1,1,0,0,0,40
"11:00 - 11:30",2,0,4,0,0,47,,0,0,0,0,0,22
"11:30 - 12:00",0,1,0,0,0,45,,0,0,0,0,0,31
"11-12 TOTALS",2,1,4,0,0,92,,0,0,0,0,0,53
"12:00 - 12:30",3,0,2,0,0,63,,0,0,0,0,0,14
"12:30 - 1:00",1,1,0,0,0,52,,1,0,2,0,0,28
"12-1 TOTALS",4,1,2,0,0,115,,1,0,2,0,0,42
"4:00 - 4:30",0,0,0,0,0,47,,1,1,0,0,0,8
"4:30 - 5:00",0,0,3,0,0,50,,0,0,0,0,0,16
"4-5 TOTALS",0,0,3,0,0,97,,1,1,0,0,0,24
"5:00 - 5:30",0,0,1,0,0,48,,0,0,0,0,0,22
"5:30 - 6:00",2,0,2,0,0,39,,0,0,0,0,0,10
"5-6 TOTALS",2,0,3,0,0,87,,0,0,0,0,0,32
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
