WILTEC,,,,,,,,,"Phone: (925) 706-9911     Fax: (925) 706-9914",
"BICYCLE AND PEDESTRIAN COUNT RESULTS WORKSHEET",,,,,,,,,,
,,,,,,,,,,
INTERSECTION:,N/S,"LAKESHORE AVENUE",,,,"Weather was cold, sunny, and clear on this day",,,,
,E/W,"MANDANA BOULEVARD",,,,,,,,
DATE:,,"TUESDAY DECEMBER 19, 2006",,,,"Note: Date changed from original document by Kamala because date was incorrect",,,,
PERIODS:,,"7:00 AM - 9:00 AM     AND     4:00 PM - 6:00 PM",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"AM COUNT RESULTS",,,,,,,,,,
PERIOD,PEDESTRIANS,,,,Ped,BICYCLES,,,,Bike
"15 MIN COUNTS","NORTH LEG","EAST LEG","SOUTH LEG","WEST LEG",Totals,"NORTH LEG","EAST LEG","SOUTH LEG","WEST LEG",Totals
700-715,0,3,1,2,6,0,1,0,2,3
715-730,2,4,0,3,9,1,1,1,1,4
730-745,2,4,0,3,9,3,1,0,0,4
745-800,0,2,3,2,7,0,1,1,0,2
800-815,1,1,1,8,11,0,2,3,3,8
815-830,5,1,2,4,12,1,1,0,1,3
830-845,4,4,3,2,13,2,0,1,4,7
845-900,2,2,2,7,13,2,5,1,3,11
"HOUR TOTALS",,,,,,,,,,
700-800,4,13,4,10,31,4,4,2,3,13
715-815,5,11,4,16,36,4,5,5,4,18
730-830,8,8,6,17,39,4,5,4,4,17
745-845,10,8,9,16,43,3,4,5,8,20
800-900,12,8,8,21,49,5,8,5,11,29
,,,,,,,,,,
"PM COUNT RESULTS",,,,,,,,,,
PERIOD,PEDESTRIANS,,,,Ped,BICYCLES,,,,Bike
"15 MIN COUNTS","NORTH LEG","EAST LEG","SOUTH LEG","WEST LEG",Totals,"NORTH LEG","EAST LEG","SOUTH LEG","WEST LEG",Totals
400-415,7,5,6,4,22,3,0,2,0,5
415-430,3,2,0,8,13,3,3,2,3,11
430-445,2,9,2,10,23,4,1,1,4,10
445-500,5,3,1,4,13,3,5,0,2,10
500-515,4,2,2,3,11,2,0,2,4,8
515-530,3,3,1,10,17,1,2,1,4,8
530-545,2,5,2,1,10,1,3,3,3,10
545-600,1,3,0,1,5,0,1,1,1,3
"HOUR TOTALS",,,,,,,,,,
400-500,17,19,9,26,71,13,9,5,9,36
415-515,14,16,5,25,60,12,9,5,13,39
430-530,14,17,6,27,64,10,8,4,14,36
445-545,14,13,6,18,51,7,10,6,13,36
500-600,10,13,5,15,43,4,6,7,12,29
,,,,,,,,,,
,,,,,,,,,,
