,"73rd Northbound",,,,,,,"73rd Southbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
7:00-7:30,,,,,,,,,,1,,,2
7:30-8:00,,,,,,1,," ",," "," ",,5
"7-8 am Totals:",,,,,,1,,,,1,,,7
8:00-8:30,,,,,,,,,,," ",,5
8:30-9:00,,,2," ",,3,," ",," ",,,7
"8-9 am Totals",,,2,,,3,,,,,,,12
"7-9 am Totals",,,2,,,4,,,,1,,,19
"Total # of Bikes NB: ",,2,,,,,,"Total # of Bikes SB: ",,,1,,
,,,,,,,,,,,,,
,"Bancroft Eastbound",,,,,,,"Bancroft Westbound",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes on Sidewalk","Bikes on Buses",Peds
7:00-7:30,,,,,,,,,,,,,2
7:30-8:00,,,,,,,,,,,,,7
"7-8 am Totals:",,,,,,,,,,,,,9
8:00-8:30,,,1," ",,2,,," ",,,1,5
"8:30-9:00 am",,,1," ",,2,," ",,1,1,,3
"8-9 am Totals",,,2,,,4,,,,1,1,1,8
"7-9 am Totals",,,2,,,4,,,,1,1,1,17
"Total # of Bikes EB: ",,2,,,,,,"Total # of Bikes WB: ",,,3,,
,,,,,,,,,,,,,
,,,,"Total # of Bikes Counted (7-9 am): ",,,,,8,,,,
,,,,,,,,,,,,,
"Field Observations:",,,,,,,,,,,,,
