,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
LOCATION:,"38TH STREET & TELEGRAPH",,,,,,DATE:,,2003/09/17,,,,
,"TELEGRAPH NORTHBOUND",,,,,,,"TELEGRAPH SOUTHBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Bikes on Buses",Peds
"7:00 - 7:30",0,0,4,0,1,3,,0,0,7,0,0,9
"7:30 - 8:00",0,0,14,0,0,6,,0,0,6,0,2,23
"7-8 TOTALS",0,0,18,0,1,9,,0,0,13,0,2,32
"8:00 - 8:30",0,0,8,0,0,0,,0,0,14,0,0,17
"8:30 - 9:00",0,0,7,0,0,3,,0,1,17,1,0,19
"8-9 TOTALS",0,0,15,0,0,3,,0,1,31,1,0,36
"11:00 - 11:30",0,0,8,0,0,0,,0,0,6,0,0,11
"11:30 - 12:00",0,0,7,0,2,4,,0,0,9,0,0,7
"11-12 TOTALS",0,0,15,0,2,4,,0,0,15,0,0,18
"12:00 - 12:30",0,0,5,0,1,1,,0,0,8,0,2,8
"12:30 - 1:00",2,0,5,0,0,6,,0,1,7,0,0,16
"12-1 TOTALS",2,0,10,0,1,7,,0,1,15,0,2,24
"4:00 - 4:30",0,0,9,0,0,1,,0,0,11,0,0,23
"4:30 - 5:00",1,0,7,0,0,1,,0,1,9,0,0,12
"4-5 TOTALS",1,0,16,0,0,2,,0,1,20,0,0,35
"5:00 - 5:30",2,0,19,0,2,1,,0,1,13,0,0,23
"5:30 - 6:00",2,0,16,0,0,1,,0,3,11,0,0,14
"5-6 TOTALS",4,0,35,0,2,2,,0,4,24,0,0,37
"Total # of Bikes NB: ",,,,,,,,"Total # of Bikes SB",,,,,
,"           N/A",,,,,,"          "," 38TH STREET  WESTBOUND",,,,,
Time,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds,,"Right Turn","Left Turn",Through,"Bikes Sidewlk","Biks on Buses",Peds
"7:00 - 7:30",,,,,,,,0,0,0,0,0,6
"7:30 - 8:00",,,,,,,,0,0,0,0,0,15
"7-8 TOTALS",,,,,,,,0,0,0,0,0,21
"8:00 - 8:30",,,,,,,,0,0,0,0,0,6
"8:30 - 9:00",,,,,,,,0,0,0,0,0,6
"8-9 TOTALS",,,,,,,,0,0,0,0,0,12
"11:00 - 11:30",,,,,,,,1,0,0,0,0,28
"11:30 - 12:00",,,,,,,,1,0,0,0,0,15
"11-12 TOTALS",,,,,,,,2,0,0,0,0,43
"12:00 - 12:30",,,,,,,,0,0,0,0,0,15
"12:30 - 1:00",,,,,,,,1,0,0,0,0,20
"12-1 TOTALS",,,,,,,,1,0,0,0,0,35
"4:00 - 4:30",,,,,,,,0,1,0,0,0,18
"4:30 - 5:00",,,,,,,,0,0,0,0,0,16
"4-5 TOTALS",,,,,,,,0,1,0,0,0,34
"5:00 - 5:30",,,,,,,,1,0,1,0,0,12
"5:30 - 6:00",,,,,,,,0,1,0,0,0,21
"5-6 TOTALS",,,,,,,,1,1,1,0,0,33
"Total # of Bikes EB: ",,,,,,,,"Total # of Bikes WB",,,,,
