"2 Hour Diagram for QA Flow Check",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"INTERSECTION #:",,,008,,,,,,"PROJECT #:",,,080170,,,,,,"AM PEAK:",,,"700 AM",,,
"NORTH / SOUTH:",,,"Bond Street",,,,,,DATE:,,,2008/04/08,,,,,,"MD PEAK:",,,"1230 PM",,,
"EAST / WEST:",,,"42nd Avenue",,,,,,VICINITY:,,,"OAKLAND, CA",,,,,,"PM PEAK:",,,"500 PM",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,,,,,,,,,,,
,,,,,,,,LN,0,0,0,,,,,,,,,,,,,
,,,,,,,,AM,0,0,0,,,,TOTAL,0,,,,,,,,
,,,,,,,,MD,0,0,0,,,,PM,0,,,,,,,,
,,,,,,,,PM,0,0,0,,,,MD,0,,,,,,,,
,,,,,,,,TOTAL,0,0,0,,,,AM,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,PM,MD,AM,,,,,,,,,,,,,,,TOTAL,PM,MD,AM,LN
,,2633,1065,854,714,,,,,,,,,,,,,,,0,0,0,0,0
,,,,,,,,,,,,NORTH,,,,,,,,2114,837,669,608,2
,0,,,,,,,,,,SIGNALIZED,,,,,,,,,0,0,0,0,0
,,,,,,,,,,WEST,,,,,EAST,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,
,LN,AM,MD,PM,TOTAL,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,,,,,,,SOUTH,,,,,,,,,,,,
,2,143,409,789,1341,,,,,,,,,,,,,,,201,556,954,1711,
,0,0,1,0,1,,,,,,,,,,,,,,,AM,MD,PM,TOTAL,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,TOTAL,519,0,370,,,,,,,
,,,,,,,,AM,0,,,,,PM,228,0,165,,,,,,,
,,,,,,,,MD,1,,,,,MD,185,0,147,,,,,,,
,,,,,,,,PM,0,,,,,AM,106,0,58,,,,,,,
,,,,,,,,TOTAL,1,,,,,LN,1.5,0,0.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"AM COUNT",,,,"6:00 AM",,TO,,"8:00 AM",,,"AM PEAK",,,,"700 AM",,,,,,,,,
"MD COUNT",,,,"12:30 PM",,TO,,"2:30 PM",,,"MD PEAK",,,,"1230 PM",,,,,,,,,
"PM COUNT",,,,"4:00 PM",,TO,,"6:00 PM",,,"PM PEAK",,,,"500 PM",,,,,,,,,
